WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 5 September 2012, NYG, DAL, AWAY, 24, 17, 433, 269
1, 9 September 2012, CHI, IND, AWAY, 41, 21, 428, 356
1, 9 September 2012, TEN, NE, AWAY, 34, 13, 390, 284
1, 9 September 2012, DET, SLR, AWAY, 27, 23, 429, 250
1, 9 September 2012, CLE, PHI, AWAY, 17, 16, 456, 210
1, 9 September 2012, HOU, MIA, AWAY, 30, 10, 337, 275
1, 9 September 2012, KC, ATL, AWAY, 40, 24, 376, 393
1, 9 September 2012, NYJ, BUF, AWAY, 48, 28, 384, 390
1, 9 September 2012, NO, WAS, AWAY, 40, 32, 459, 358
1, 9 September 2012, MIN, JAX, AWAY, 26, 23, 389, 355
1, 9 September 2012, GB, SF, AWAY, 30, 22, 377, 324
1, 9 September 2012, ARI, SEA, AWAY, 20, 16, 253, 254
1, 9 September 2012, TB, CAR, AWAY, 16, 10, 258, 301
1, 9 September 2012, DEN, PIT, AWAY, 31, 19, 334, 284
1, 10 September 2012, BAL, CIN, AWAY, 44, 13, 430, 322
1, 10 September 2012, OAK, LAC, AWAY, 22, 14, 258, 321
2, 13 September 2012, GB, CHI, AWAY, 23, 10, 321, 168
2, 16 September 2012, BUF, KC, AWAY, 35, 17, 379, 422
2, 16 September 2012, NE, ARI, AWAY, 20, 18, 242, 387
2, 16 September 2012, MIA, OAK, AWAY, 35, 13, 452, 396
2, 16 September 2012, CIN, CLE, AWAY, 34, 27, 375, 439
2, 16 September 2012, NYG, TB, AWAY, 41, 34, 604, 307
2, 16 September 2012, CAR, NO, AWAY, 35, 27, 463, 486
2, 16 September 2012, IND, MIN, AWAY, 23, 20, 278, 327
2, 16 September 2012, PHI, BAL, AWAY, 24, 23, 486, 325
2, 16 September 2012, JAX, HOU, HOME, 27, 7, 411, 117
2, 16 September 2012, SLR, WAS, AWAY, 31, 28, 452, 373
2, 16 September 2012, SEA, DAL, HOME, 27, 7, 315, 296
2, 16 September 2012, LAC, TEN, AWAY, 38, 10, 416, 212
2, 16 September 2012, PIT, NYJ, AWAY, 27, 10, 331, 219
2, 16 September 2012, SF, DET, AWAY, 27, 19, 349, 296
2, 17 September 2012, ATL, DEN, AWAY, 27, 21, 275, 336
3, 20 September 2012, CAR, NYG, HOME, 36, 7, 405, 327
3, 23 September 2012, CLE, BUF, AWAY, 24, 14, 344, 240
3, 23 September 2012, NO, KC, AWAY, 27, 24, 510, 288
3, 23 September 2012, IND, JAX, AWAY, 22, 17, 333, 437
3, 23 September 2012, TEN, DET, AWAY, 44, 41, 437, 583
3, 23 September 2012, MIA, NYJ, AWAY, 23, 20, 388, 381
3, 23 September 2012, WAS, CIN, AWAY, 38, 31, 478, 381
3, 23 September 2012, CHI, SLR, HOME, 23, 6, 274, 160
3, 23 September 2012, DAL, TB, AWAY, 16, 10, 297, 166
3, 23 September 2012, MIN, SF, AWAY, 24, 13, 344, 280
3, 23 September 2012, LAC, ATL, HOME, 27, 3, 384, 280
3, 23 September 2012, ARI, PHI, HOME, 27, 6, 292, 307
3, 23 September 2012, OAK, PIT, AWAY, 34, 31, 321, 433
3, 23 September 2012, DEN, HOU, AWAY, 31, 25, 436, 375
3, 23 September 2012, BAL, NE, AWAY, 31, 30, 503, 396
3, 24 September 2012, SEA, GB, AWAY, 14, 12, 238, 268
4, 27 September 2012, BAL, CLE, AWAY, 23, 16, 438, 357
