WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 8 September 2016, DEN, CAR, AWAY, 21, 20, 307, 333
1, 11 September 2016, BAL, BUF, HOME, 13, 7, 308, 160
1, 11 September 2016, JAX, GB, AWAY, 27, 23, 294, 348
1, 11 September 2016, PHI, CLE, AWAY, 29, 10, 403, 288
1, 11 September 2016, HOU, CHI, AWAY, 23, 14, 344, 258
1, 11 September 2016, KC, LAC, AWAY, 33, 27, 413, 388
1, 11 September 2016, ATL, TB, AWAY, 31, 24, 371, 374
1, 11 September 2016, TEN, MIN, AWAY, 25, 16, 301, 316
1, 11 September 2016, NO, OAK, AWAY, 35, 34, 486, 507
1, 11 September 2016, NYJ, CIN, AWAY, 23, 22, 381, 340
1, 11 September 2016, SEA, MIA, AWAY, 12, 10, 352, 214
1, 11 September 2016, DAL, NYG, AWAY, 20, 19, 316, 328
1, 11 September 2016, IND, DET, AWAY, 39, 35, 448, 450
1, 11 September 2016, ARI, NE, AWAY, 23, 21, 363, 344
1, 12 September 2016, WAS, PIT, AWAY, 38, 16, 437, 384
1, 12 September 2016, SF, LAR, AWAY, 28, 0, 320, 185
2, 15 September 2016, BUF, NYJ, AWAY, 37, 31, 493, 393
2, 18 September 2016, DET, TEN, AWAY, 16, 15, 363, 375
2, 18 September 2016, PIT, CIN, AWAY, 24, 16, 374, 412
2, 18 September 2016, CLE, BAL, AWAY, 25, 20, 382, 387
2, 18 September 2016, HOU, KC, AWAY, 19, 12, 351, 291
2, 18 September 2016, NE, MIA, AWAY, 31, 24, 463, 457
2, 18 September 2016, WAS, DAL, AWAY, 27, 23, 380, 432
2, 18 September 2016, NYG, NO, AWAY, 16, 13, 417, 288
2, 18 September 2016, CAR, SF, AWAY, 46, 27, 529, 302
2, 18 September 2016, ARI, TB, HOME, 40, 7, 416, 306
2, 18 September 2016, LAR, SEA, AWAY, 9, 3, 283, 306
2, 18 September 2016, DEN, IND, AWAY, 34, 20, 400, 253
2, 18 September 2016, LAC, JAX, AWAY, 38, 14, 357, 388
2, 18 September 2016, OAK, ATL, AWAY, 35, 28, 528, 454
