WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 6 September 2018, PHI, ATL, AWAY, 18, 12, 232, 299
1, 9 September 2018, NE, HOU, AWAY, 27, 20, 389, 325
1, 9 September 2018, NO, TB, AWAY, 48, 40, 529, 475
1, 9 September 2018, CLE, PIT, TIE, 21, 21, 472, 327
1, 9 September 2018, IND, CIN, AWAY, 34, 23, 330, 380
1, 9 September 2018, MIA, TEN, AWAY, 27, 20, 342, 336
1, 9 September 2018, NYG, JAX, AWAY, 20, 15, 305, 324
1, 9 September 2018, MIN, SF, AWAY, 24, 16, 343, 327
1, 9 September 2018, BAL, BUF, AWAY, 47, 3, 369, 153
1, 9 September 2018, LAC, KC, AWAY, 38, 28, 362, 541
1, 9 September 2018, DEN, SEA, AWAY, 27, 24, 470, 306
1, 9 September 2018, ARI, WAS, HOME, 24, 6, 429, 213
1, 9 September 2018, CAR, DAL, HOME, 16, 8, 293, 232
1, 9 September 2018, GB, CHI, AWAY, 24, 23, 370, 294
1, 10 September 2018, DET, NYJ, AWAY, 48, 17, 349, 339
1, 10 September 2018, OAK, LAR, AWAY, 33, 13, 365, 395
2, 13 September 2018, CIN, BAL, AWAY, 34, 23, 373, 425
2, 16 September 2018, BUF, LAC, AWAY, 31, 20, 349, 293
2, 16 September 2018, TEN, HOU, AWAY, 20, 17, 283, 437
2, 16 September 2018, GB, MIN, TIE, 29, 29, 480, 351
2, 16 September 2018, PIT, KC, AWAY, 42, 37, 449, 475
2, 16 September 2018, NO, CLE, AWAY, 21, 18, 275, 327
2, 16 September 2018, TB, PHI, AWAY, 27, 21, 436, 412
2, 16 September 2018, NYJ, MIA, AWAY, 20, 12, 257, 362
2, 16 September 2018, ATL, CAR, AWAY, 31, 24, 442, 439
2, 16 September 2018, WAS, IND, HOME, 21, 9, 281, 334
2, 16 September 2018, SF, DET, AWAY, 30, 27, 346, 427
2, 16 September 2018, LAR, ARI, AWAY, 34, 0, 432, 137
2, 16 September 2018, DEN, OAK, AWAY, 20, 19, 385, 373
2, 16 September 2018, JAX, NE, AWAY, 31, 20, 480, 302
2, 16 September 2018, DAL, NYG, AWAY, 20, 13, 298, 255
2, 17 September 2018, CHI, SEA, AWAY, 24, 17, 271, 276
3, 20 September 2018, CLE, NYJ, AWAY, 21, 17, 323, 268
3, 23 September 2018, PHI, IND, AWAY, 20, 16, 379, 209
3, 23 September 2018, CAR, CIN, AWAY, 31, 21, 377, 396
3, 23 September 2018, JAX, TEN, AWAY, 9, 6, 233, 232
3, 23 September 2018, MIN, BUF, HOME, 27, 6, 292, 292
3, 23 September 2018, HOU, NYG, AWAY, 27, 22, 379, 427
3, 23 September 2018, WAS, GB, AWAY, 31, 17, 386, 340
3, 23 September 2018, BAL, DEN, AWAY, 27, 14, 342, 293
3, 23 September 2018, KC, SF, AWAY, 38, 27, 384, 406
3, 23 September 2018, MIA, OAK, AWAY, 28, 20, 373, 434
3, 23 September 2018, ATL, NO, AWAY, 43, 37, 534, 407
3, 23 September 2018, LAR, LAC, AWAY, 35, 23, 521, 356
3, 23 September 2018, SEA, DAL, AWAY, 24, 13, 295, 303
3, 23 September 2018, ARI, CHI, AWAY, 16, 14, 316, 221
3, 23 September 2018, DET, NE, AWAY, 26, 10, 414, 209
3, 24 September 2018, TB, PIT, AWAY, 30, 27, 413, 455
4, 27 September 2018, LAR, MIN, AWAY, 38, 31, 556, 446
4, 30 September 2018, NE, MIA, HOME, 38, 7, 449, 172
4, 30 September 2018, ATL, CIN, AWAY, 37, 36, 407, 495
4, 30 September 2018, IND, HOU, AWAY, 37, 34, 466, 478
4, 30 September 2018, JAX, NYJ, AWAY, 31, 12, 503, 178
4, 30 September 2018, DAL, DET, AWAY, 26, 24, 414, 382
4, 30 September 2018, TEN, PHI, AWAY, 26, 23, 397, 432
4, 30 September 2018, GB, BUF, AWAY, 22, 0, 423, 145
4, 30 September 2018, CHI, TB, AWAY, 48, 10, 483, 311
4, 30 September 2018, OAK, CLE, AWAY, 45, 42, 565, 487
4, 30 September 2018, ARI, SEA, AWAY, 20, 17, 331, 263
4, 30 September 2018, LAC, SF, AWAY, 29, 27, 368, 364
