WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 7 September 2017, NE, KC, AWAY, 42, 27, 537, 371
1, 10 September 2017, CLE, PIT, AWAY, 21, 18, 290, 237
1, 10 September 2017, CIN, BAL, AWAY, 20, 0, 268, 221
1, 10 September 2017, WAS, PHI, AWAY, 30, 17, 356, 264
1, 10 September 2017, DET, ARI, AWAY, 35, 23, 367, 308
1, 10 September 2017, HOU, JAX, HOME, 29, 7, 280, 203
1, 10 September 2017, TEN, OAK, AWAY, 26, 16, 359, 350
1, 10 September 2017, CHI, ATL, AWAY, 23, 17, 372, 301
1, 10 September 2017, BUF, NYJ, AWAY, 21, 12, 408, 214
1, 10 September 2017, LAR, IND, HOME, 46, 9, 373, 225
1, 10 September 2017, SF, CAR, HOME, 23, 3, 287, 217
1, 10 September 2017, GB, SEA, HOME, 17, 9, 370, 225
1, 10 September 2017, DAL, NYG, HOME, 19, 3, 392, 233
1, 11 September 2017, MIN, NO, AWAY, 29, 19, 470, 344
1, 11 September 2017, DEN, LAC, AWAY, 24, 21, 321, 249
2, 14 September 2017, CIN, HOU, HOME, 13, 9, 266, 295
2, 17 September 2017, IND, ARI, AWAY, 16, 13, 389, 266
2, 17 September 2017, NO, NE, AWAY, 36, 20, 555, 429
2, 17 September 2017, CAR, BUF, AWAY, 9, 3, 255, 176
2, 17 September 2017, PIT, MIN, HOME, 26, 9, 335, 237
2, 17 September 2017, TB, CHI, HOME, 29, 7, 311, 310
2, 17 September 2017, BAL, CLE, AWAY, 24, 10, 337, 386
2, 17 September 2017, JAX, TEN, AWAY, 37, 16, 390, 310
2, 17 September 2017, KC, PHI, AWAY, 27, 20, 344, 406
2, 17 September 2017, LAC, MIA, AWAY, 19, 17, 336, 367
2, 17 September 2017, OAK, NYJ, AWAY, 45, 20, 410, 271
2, 17 September 2017, SEA, SF, HOME, 12, 9, 312, 248
2, 17 September 2017, DEN, DAL, AWAY, 42, 17, 380, 268
2, 17 September 2017, LAR, WAS, AWAY, 27, 20, 385, 332
2, 17 September 2017, ATL, GB, AWAY, 34, 23, 364, 367
2, 18 September 2017, NYG, DET, AWAY, 24, 10, 257, 270
3, 21 September 2017, SF, LAR, AWAY, 41, 39, 418, 421
3, 24 September 2017, JAX, BAL, HOME, 44, 7, 410, 186
3, 24 September 2017, NYJ, MIA, HOME, 20, 6, 336, 225
3, 24 September 2017, DET, ATL, AWAY, 30, 26, 428, 324
