WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 8 September 2011, GB, NO, AWAY, 42, 34, 399, 477
1, 11 September 2011, SLR, PHI, AWAY, 31, 13, 403, 335
1, 11 September 2011, HOU, IND, HOME, 34, 7, 384, 236
1, 11 September 2011, JAX, TEN, AWAY, 16, 14, 323, 292
1, 11 September 2011, BAL, PIT, HOME, 35, 7, 385, 312
1, 11 September 2011, TB, DET, AWAY, 27, 20, 431, 315
1, 11 September 2011, KC, BUF, HOME, 41, 7, 364, 213
1, 11 September 2011, CHI, ATL, AWAY, 30, 12, 377, 386
1, 11 September 2011, CLE, CIN, AWAY, 27, 17, 294, 285
1, 11 September 2011, ARI, CAR, AWAY, 28, 21, 394, 477
1, 11 September 2011, LAC, MIN, AWAY, 24, 17, 407, 187
1, 11 September 2011, SF, SEA, AWAY, 33, 17, 209, 219
1, 11 September 2011, WAS, NYG, AWAY, 28, 14, 332, 315
1, 11 September 2011, NYJ, DAL, AWAY, 27, 24, 360, 390
1, 12 September 2011, MIA, NE, AWAY, 38, 24, 622, 488
1, 12 September 2011, DEN, OAK, AWAY, 23, 20, 289, 310
2, 18 September 2011, PIT, SEA, AWAY, 24, 0, 421, 164
2, 18 September 2011, CAR, GB, AWAY, 30, 23, 419, 475
2, 18 September 2011, IND, CLE, AWAY, 27, 19, 303, 285
2, 18 September 2011, TEN, BAL, AWAY, 26, 13, 432, 229
2, 18 September 2011, DET, KC, AWAY, 48, 3, 411, 267
2, 18 September 2011, NYJ, JAX, AWAY, 32, 3, 283, 203
2, 18 September 2011, NO, CHI, AWAY, 30, 13, 382, 246
2, 18 September 2011, WAS, ARI, AWAY, 22, 21, 455, 324
2, 18 September 2011, BUF, OAK, AWAY, 38, 35, 481, 454
2, 18 September 2011, MIN, TB, AWAY, 24, 20, 335, 398
2, 18 September 2011, SF, DAL, AWAY, 27, 24, 472, 206
2, 18 September 2011, DEN, CIN, AWAY, 24, 22, 318, 382
2, 18 September 2011, MIA, HOU, AWAY, 23, 13, 345, 306
2, 18 September 2011, NE, LAC, AWAY, 35, 21, 504, 470
2, 18 September 2011, ATL, PHI, AWAY, 35, 31, 318, 447
2, 19 September 2011, NYG, SLR, AWAY, 28, 16, 323, 367
3, 25 September 2011, CIN, SF, HOME, 13, 8, 226, 228
3, 25 September 2011, CAR, JAX, AWAY, 16, 10, 265, 257
3, 25 September 2011, TEN, DEN, AWAY, 17, 14, 333, 231
3, 25 September 2011, CLE, MIA, AWAY, 17, 16, 280, 369
3, 25 September 2011, NO, HOU, AWAY, 40, 33, 454, 473
3, 25 September 2011, BUF, NE, AWAY, 34, 31, 448, 495
3, 25 September 2011, PHI, NYG, AWAY, 29, 16, 334, 376
3, 25 September 2011, MIN, DET, AWAY, 26, 23, 358, 321
3, 25 September 2011, OAK, NYJ, AWAY, 34, 24, 383, 439
3, 25 September 2011, LAC, KC, AWAY, 20, 17, 375, 252
3, 25 September 2011, SLR, BAL, HOME, 37, 7, 553, 244
3, 25 September 2011, CHI, GB, AWAY, 27, 17, 392, 291
3, 25 September 2011, SEA, ARI, AWAY, 13, 10, 261, 324
3, 25 September 2011, TB, ATL, AWAY, 16, 13, 295, 325
3, 25 September 2011, IND, PIT, AWAY, 23, 20, 408, 241
3, 26 September 2011, DAL, WAS, AWAY, 18, 16, 375, 298
4, 2 October 2011, SLR, WAS, AWAY, 17, 10, 339, 172
4, 2 October 2011, KC, MIN, AWAY, 22, 17, 350, 341
4, 2 October 2011, DAL, DET, AWAY, 34, 30, 303, 434
4, 2 October 2011, JAX, NO, AWAY, 23, 10, 503, 274
4, 2 October 2011, CIN, BUF, AWAY, 23, 20, 458, 273
4, 2 October 2011, PHI, SF, AWAY, 24, 23, 442, 513
4, 2 October 2011, CLE, TEN, AWAY, 31, 13, 332, 416
4, 2 October 2011, HOU, PIT, AWAY, 17, 10, 318, 296
4, 2 October 2011, CHI, CAR, AWAY, 34, 29, 317, 543
4, 2 October 2011, ARI, NYG, AWAY, 31, 27, 360, 368
4, 2 October 2011, SEA, ATL, AWAY, 30, 28, 412, 372
4, 2 October 2011, OAK, NE, AWAY, 31, 19, 409, 504
4, 2 October 2011, LAC, MIA, AWAY, 26, 16, 411, 248
4, 2 October 2011, GB, DEN, AWAY, 49, 23, 507, 384
4, 2 October 2011, BAL, NYJ, AWAY, 34, 17, 267, 150
4, 3 October 2011, TB, IND, AWAY, 24, 17, 466, 318
5, 9 October 2011, IND, KC, AWAY, 28, 24, 436, 355
5, 9 October 2011, HOU, OAK, AWAY, 25, 20, 278, 473
5, 9 October 2011, JAX, CIN, AWAY, 30, 20, 239, 296
5, 9 October 2011, PIT, TEN, AWAY, 38, 17, 431, 306
5, 9 October 2011, CAR, NO, AWAY, 30, 27, 444, 381
5, 9 October 2011, NYG, SEA, AWAY, 36, 25, 424, 464
5, 9 October 2011, BUF, PHI, AWAY, 31, 24, 331, 489
5, 9 October 2011, MIN, ARI, AWAY, 34, 10, 332, 291
5, 9 October 2011, SF, TB, AWAY, 48, 3, 418, 272
5, 9 October 2011, NE, NYJ, AWAY, 30, 21, 446, 255
5, 9 October 2011, DEN, LAC, AWAY, 29, 24, 418, 275
