WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 10 September 2015, NE, PIT, AWAY, 28, 21, 361, 464
1, 13 September 2015, SLR, SEA, AWAY, 34, 31, 352, 343
1, 13 September 2015, CHI, GB, AWAY, 31, 23, 322, 402
1, 13 September 2015, WAS, MIA, AWAY, 17, 10, 256, 349
1, 13 September 2015, HOU, KC, AWAY, 27, 20, 330, 396
1, 13 September 2015, BUF, IND, AWAY, 27, 14, 342, 304
1, 13 September 2015, JAX, CAR, HOME, 20, 9, 263, 265
1, 13 September 2015, NYJ, CLE, AWAY, 31, 10, 333, 321
1, 13 September 2015, ARI, NO, AWAY, 31, 19, 427, 408
1, 13 September 2015, LAC, DET, AWAY, 33, 28, 483, 302
1, 13 September 2015, DEN, BAL, AWAY, 19, 13, 219, 173
1, 13 September 2015, TB, TEN, AWAY, 42, 14, 309, 273
1, 13 September 2015, OAK, CIN, AWAY, 33, 13, 396, 246
1, 13 September 2015, DAL, NYG, AWAY, 27, 26, 436, 288
1, 14 September 2015, ATL, PHI, AWAY, 26, 24, 395, 399
1, 14 September 2015, SF, MIN, HOME, 20, 3, 395, 248
2, 17 September 2015, KC, DEN, AWAY, 31, 24, 299, 314
2, 20 September 2015, CHI, ARI, AWAY, 48, 23, 300, 335
2, 20 September 2015, NO, TB, AWAY, 26, 19, 333, 323
2, 20 September 2015, PIT, SF, AWAY, 43, 18, 453, 409
2, 20 September 2015, BUF, NE, AWAY, 40, 32, 507, 349
2, 20 September 2015, CLE, TEN, AWAY, 28, 14, 274, 385
2, 20 September 2015, NYG, ATL, AWAY, 24, 20, 402, 388
2, 20 September 2015, CAR, HOU, AWAY, 24, 17, 350, 300
2, 20 September 2015, CIN, LAC, AWAY, 24, 19, 389, 354
2, 20 September 2015, WAS, SLR, AWAY, 24, 10, 373, 213
2, 20 September 2015, MIN, DET, AWAY, 26, 16, 350, 323
2, 20 September 2015, OAK, BAL, AWAY, 37, 33, 448, 493
2, 20 September 2015, JAX, MIA, AWAY, 23, 20, 396, 386
2, 20 September 2015, PHI, DAL, AWAY, 20, 10, 359, 226
2, 20 September 2015, GB, SEA, AWAY, 27, 17, 361, 324
2, 21 September 2015, IND, NYJ, HOME, 20, 7, 344, 343
3, 24 September 2015, NYG, WAS, AWAY, 32, 21, 363, 393
3, 27 September 2015, SLR, PIT, HOME, 12, 6, 259, 258
3, 27 September 2015, CLE, OAK, AWAY, 27, 20, 469, 355
3, 27 September 2015, MIN, LAC, AWAY, 31, 14, 284, 369
3, 27 September 2015, BAL, CIN, AWAY, 28, 24, 458, 398
3, 27 September 2015, DAL, ATL, AWAY, 39, 28, 438, 347
3, 27 September 2015, CAR, NO, AWAY, 27, 22, 431, 380
3, 27 September 2015, TEN, IND, AWAY, 35, 33, 378, 433
3, 27 September 2015, NYJ, PHI, AWAY, 24, 17, 231, 323
3, 27 September 2015, HOU, TB, HOME, 19, 9, 413, 318
3, 27 September 2015, NE, JAX, AWAY, 51, 17, 471, 293
3, 27 September 2015, ARI, SF, HOME, 47, 7, 446, 156
3, 27 September 2015, MIA, BUF, AWAY, 41, 14, 428, 391
3, 27 September 2015, SEA, CHI, AWAY, 26, 0, 371, 146
3, 27 September 2015, DET, DEN, AWAY, 24, 12, 354, 290
3, 28 September 2015, GB, KC, AWAY, 38, 28, 448, 326
4, 1 October 2015, PIT, BAL, AWAY, 23, 20, 356, 263
4, 4 October 2015, MIA, NYJ, AWAY, 27, 14, 425, 226
4, 4 October 2015, BUF, NYG, AWAY, 24, 10, 303, 313
4, 4 October 2015, CHI, OAK, AWAY, 22, 20, 371, 266
4, 4 October 2015, ATL, HOU, AWAY, 48, 21, 378, 428
4, 4 October 2015, IND, JAX, AWAY, 16, 13, 326, 431
4, 4 October 2015, WAS, PHI, AWAY, 23, 20, 417, 320
4, 4 October 2015, TB, CAR, AWAY, 37, 23, 244, 411
4, 4 October 2015, CIN, KC, AWAY, 36, 21, 445, 461
4, 4 October 2015, LAC, CLE, AWAY, 30, 27, 438, 432
4, 4 October 2015, DEN, MIN, AWAY, 23, 20, 344, 325
4, 4 October 2015, SF, GB, HOME, 17, 3, 362, 196
4, 4 October 2015, ARI, SLR, AWAY, 24, 22, 328, 447
4, 4 October 2015, NO, DAL, AWAY, 26, 20, 438, 335
4, 5 October 2015, SEA, DET, AWAY, 13, 10, 345, 256
5, 8 October 2015, HOU, IND, AWAY, 27, 20, 323, 444
5, 11 October 2015, TB, JAX, AWAY, 38, 31, 369, 325
5, 11 October 2015, KC, CHI, AWAY, 18, 17, 328, 287
5, 11 October 2015, BAL, CLE, AWAY, 33, 30, 505, 377
5, 11 October 2015, ATL, WAS, AWAY, 25, 19, 418, 270
5, 11 October 2015, GB, SLR, AWAY, 24, 10, 322, 334
5, 11 October 2015, CIN, SEA, AWAY, 27, 24, 419, 397
5, 11 October 2015, TEN, BUF, AWAY, 14, 13, 209, 276
5, 11 October 2015, PHI, NO, AWAY, 39, 17, 519, 388
5, 11 October 2015, DET, ARI, AWAY, 42, 17, 345, 435
5, 11 October 2015, OAK, DEN, AWAY, 16, 10, 297, 288
5, 11 October 2015, DAL, NE, HOME, 30, 6, 356, 265
5, 11 October 2015, NYG, SF, AWAY, 30, 27, 525, 380
5, 12 October 2015, LAC, PIT, AWAY, 24, 20, 349, 406
6, 15 October 2015, NO, ATL, AWAY, 31, 21, 385, 413
6, 18 October 2015, NYJ, WAS, AWAY, 34, 20, 474, 225
6, 18 October 2015, JAX, HOU, AWAY, 31, 20, 382, 394
6, 18 October 2015, MIN, KC, AWAY, 16, 10, 321, 328
6, 18 October 2015, BUF, CIN, AWAY, 34, 21, 355, 368
6, 18 October 2015, DET, CHI, AWAY, 37, 34, 546, 444
6, 18 October 2015, CLE, DEN, AWAY, 26, 23, 442, 298
6, 18 October 2015, TEN, MIA, AWAY, 38, 10, 434, 299
6, 18 October 2015, PIT, ARI, AWAY, 25, 13, 310, 469
6, 18 October 2015, SEA, CAR, AWAY, 27, 23, 383, 334
6, 18 October 2015, GB, LAC, AWAY, 27, 20, 370, 548
6, 18 October 2015, SF, BAL, AWAY, 25, 20, 391, 420
6, 18 October 2015, IND, NE, AWAY, 34, 27, 417, 409
6, 19 October 2015, PHI, NYG, HOME, 27, 7, 428, 247
7, 22 October 2015, SF, SEA, HOME, 20, 3, 388, 142
7, 25 October 2015, JAX, BUF, AWAY, 34, 31, 295, 375
7, 25 October 2015, SLR, CLE, HOME, 24, 6, 308, 364
7, 25 October 2015, NE, NYJ, AWAY, 30, 23, 353, 372
7, 25 October 2015, MIA, HOU, AWAY, 44, 26, 503, 322
7, 25 October 2015, TEN, ATL, HOME, 10, 7, 378, 256
7, 25 October 2015, DET, MIN, AWAY, 28, 19, 425, 274
7, 25 October 2015, KC, PIT, AWAY, 23, 13, 377, 339
7, 25 October 2015, IND, NO, AWAY, 27, 21, 449, 376
7, 25 October 2015, WAS, TB, AWAY, 31, 30, 355, 479
7, 25 October 2015, LAC, OAK, AWAY, 37, 29, 412, 417
7, 25 October 2015, NYG, DAL, AWAY, 27, 20, 289, 460
7, 25 October 2015, CAR, PHI, AWAY, 27, 16, 394, 349
7, 26 October 2015, ARI, BAL, AWAY, 26, 18, 414, 276
8, 29 October 2015, NE, MIA, HOME, 36, 7, 437, 270
8, 1 November 2015, KC, DET, AWAY, 45, 10, 340, 276
8, 1 November 2015, CHI, MIN, AWAY, 23, 20, 327, 305
8, 1 November 2015, SLR, SF, HOME, 27, 6, 388, 189
8, 1 November 2015, PIT, CIN, AWAY, 16, 10, 296, 356
8, 1 November 2015, BAL, LAC, AWAY, 29, 26, 365, 371
8, 1 November 2015, CLE, ARI, AWAY, 34, 20, 491, 254
8, 1 November 2015, HOU, TEN, HOME, 20, 6, 270, 211
8, 1 November 2015, ATL, TB, AWAY, 23, 20, 290, 496
8, 1 November 2015, NO, NYG, AWAY, 52, 49, 608, 416
8, 1 November 2015, OAK, NYJ, AWAY, 34, 20, 451, 366
8, 1 November 2015, DAL, SEA, AWAY, 13, 12, 323, 220
8, 1 November 2015, DEN, GB, AWAY, 29, 10, 500, 140
8, 2 November 2015, CAR, IND, AWAY, 29, 26, 379, 359
9, 5 November 2015, CIN, CLE, AWAY, 31, 10, 371, 213
9, 8 November 2015, BUF, MIA, AWAY, 33, 17, 420, 397
9, 8 November 2015, NE, WAS, AWAY, 27, 10, 460, 250
9, 8 November 2015, NYJ, JAX, AWAY, 28, 23, 290, 436
9, 8 November 2015, MIN, SLR, AWAY, 21, 18, 293, 320
9, 8 November 2015, NO, TEN, AWAY, 34, 28, 483, 416
9, 8 November 2015, PIT, OAK, AWAY, 38, 35, 597, 440
9, 8 November 2015, CAR, GB, AWAY, 37, 29, 427, 402
9, 8 November 2015, TB, NYG, AWAY, 32, 18, 327, 383
9, 8 November 2015, SF, ATL, AWAY, 17, 16, 318, 302
9, 8 November 2015, IND, DEN, AWAY, 27, 24, 365, 309
9, 8 November 2015, DAL, PHI, AWAY, 33, 27, 459, 411
9, 9 November 2015, LAC, CHI, AWAY, 22, 19, 446, 339
10, 12 November 2015, NYJ, BUF, AWAY, 22, 17, 280, 318
10, 15 November 2015, SLR, CHI, AWAY, 37, 13, 397, 285
10, 15 November 2015, TEN, CAR, AWAY, 27, 10, 303, 242
10, 15 November 2015, GB, DET, AWAY, 18, 16, 287, 372
10, 15 November 2015, PIT, CLE, HOME, 30, 9, 459, 342
10, 15 November 2015, PHI, MIA, AWAY, 20, 19, 289, 436
10, 15 November 2015, BAL, JAX, AWAY, 22, 20, 258, 397
10, 15 November 2015, TB, DAL, HOME, 10, 6, 330, 216
10, 15 November 2015, WAS, NO, AWAY, 47, 14, 510, 350
10, 15 November 2015, OAK, MIN, AWAY, 30, 14, 385, 371
10, 15 November 2015, DEN, KC, AWAY, 29, 13, 303, 221
10, 15 November 2015, NYG, NE, AWAY, 27, 26, 406, 422
10, 15 November 2015, SEA, ARI, AWAY, 39, 32, 451, 343
10, 16 November 2015, CIN, HOU, HOME, 10, 6, 256, 256
11, 19 November 2015, JAX, TEN, AWAY, 19, 13, 308, 316
11, 22 November 2015, CHI, DEN, AWAY, 17, 15, 389, 347
