WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 4 September 2014, SEA, GB, AWAY, 36, 16, 398, 255
1, 7 September 2014, SLR, MIN, HOME, 34, 6, 355, 318
1, 7 September 2014, CHI, BUF, AWAY, 23, 20, 360, 427
1, 7 September 2014, PIT, CLE, AWAY, 30, 27, 503, 389
1, 7 September 2014, NYJ, OAK, AWAY, 19, 14, 402, 158
1, 7 September 2014, KC, TEN, AWAY, 26, 10, 405, 245
1, 7 September 2014, BAL, CIN, AWAY, 23, 16, 380, 423
1, 7 September 2014, PHI, JAX, AWAY, 34, 17, 420, 306
1, 7 September 2014, HOU, WAS, HOME, 17, 6, 321, 372
1, 7 September 2014, ATL, NO, AWAY, 37, 34, 568, 472
1, 7 September 2014, MIA, NE, AWAY, 33, 20, 360, 315
1, 7 September 2014, TB, CAR, AWAY, 20, 14, 334, 264
1, 7 September 2014, DAL, SF, AWAY, 28, 17, 319, 382
1, 7 September 2014, DEN, IND, AWAY, 31, 24, 361, 408
1, 8 September 2014, DET, NYG, AWAY, 35, 14, 417, 197
1, 8 September 2014, ARI, LAC, AWAY, 18, 17, 403, 290
2, 11 September 2014, BAL, PIT, HOME, 26, 6, 323, 301
2, 14 September 2014, BUF, MIA, AWAY, 29, 10, 315, 290
2, 14 September 2014, TEN, DAL, AWAY, 26, 10, 368, 314
2, 14 September 2014, CLE, NO, AWAY, 26, 24, 324, 397
2, 14 September 2014, NYG, ARI, AWAY, 25, 14, 266, 341
2, 14 September 2014, CAR, DET, HOME, 24, 7, 313, 323
2, 14 September 2014, WAS, JAX, AWAY, 41, 10, 449, 148
2, 14 September 2014, MIN, NE, HOME, 30, 7, 292, 217
2, 14 September 2014, CIN, ATL, AWAY, 24, 10, 472, 309
2, 14 September 2014, TB, SLR, AWAY, 19, 17, 339, 332
2, 14 September 2014, LAC, SEA, AWAY, 30, 21, 377, 288
2, 14 September 2014, DEN, KC, AWAY, 24, 17, 325, 380
2, 14 September 2014, OAK, HOU, AWAY, 30, 14, 327, 364
2, 14 September 2014, GB, NYJ, AWAY, 31, 24, 390, 313
2, 14 September 2014, SF, CHI, AWAY, 28, 20, 216, 359
2, 15 September 2014, IND, PHI, AWAY, 30, 27, 458, 341
3, 18 September 2014, ATL, TB, AWAY, 56, 14, 488, 217
3, 21 September 2014, SLR, DAL, AWAY, 34, 31, 340, 448
3, 21 September 2014, CIN, TEN, HOME, 33, 7, 300, 326
3, 21 September 2014, NE, OAK, HOME, 16, 9, 297, 241
3, 21 September 2014, PHI, WAS, AWAY, 37, 34, 379, 511
3, 21 September 2014, CLE, BAL, AWAY, 23, 21, 377, 375
3, 21 September 2014, NYG, HOU, AWAY, 30, 17, 419, 411
3, 21 September 2014, JAX, IND, AWAY, 44, 17, 529, 344
3, 21 September 2014, DET, GB, HOME, 19, 7, 353, 223
3, 21 September 2014, BUF, LAC, AWAY, 22, 10, 333, 292
3, 21 September 2014, NO, MIN, HOME, 20, 9, 396, 247
3, 21 September 2014, ARI, SF, AWAY, 23, 14, 338, 318
3, 21 September 2014, SEA, DEN, AWAY, 26, 20, 384, 332
3, 21 September 2014, MIA, KC, AWAY, 34, 15, 342, 332
3, 21 September 2014, CAR, PIT, AWAY, 37, 19, 454, 349
3, 22 September 2014, NYJ, CHI, AWAY, 27, 19, 257, 414
4, 25 September 2014, WAS, NYG, AWAY, 45, 14, 449, 329
4, 28 September 2014, NYJ, DET, AWAY, 24, 17, 360, 336
4, 28 September 2014, HOU, BUF, AWAY, 23, 17, 301, 316
4, 28 September 2014, BAL, CAR, AWAY, 38, 10, 454, 315
4, 28 September 2014, CHI, GB, AWAY, 38, 17, 358, 496
4, 28 September 2014, IND, TEN, AWAY, 41, 17, 498, 261
4, 28 September 2014, PIT, TB, AWAY, 27, 24, 350, 390
4, 28 September 2014, OAK, MIA, AWAY, 38, 14, 435, 317
4, 28 September 2014, LAC, JAX, AWAY, 33, 14, 407, 320
4, 28 September 2014, MIN, ATL, AWAY, 41, 28, 558, 411
4, 28 September 2014, SF, PHI, AWAY, 26, 21, 407, 213
4, 28 September 2014, DAL, NO, AWAY, 38, 17, 445, 438
4, 29 September 2014, KC, NE, AWAY, 41, 14, 443, 290
5, 2 October 2014, GB, MIN, AWAY, 42, 10, 320, 299
5, 5 October 2014, TEN, CLE, AWAY, 29, 28, 460, 410
5, 5 October 2014, JAX, PIT, HOME, 17, 9, 372, 243
5, 5 October 2014, PHI, SLR, AWAY, 34, 28, 352, 466
5, 5 October 2014, DAL, HOU, AWAY, 20, 17, 456, 330
5, 5 October 2014, IND, BAL, AWAY, 20, 13, 432, 287
5, 5 October 2014, DET, BUF, AWAY, 17, 14, 343, 273
5, 5 October 2014, NO, TB, AWAY, 37, 31, 511, 314
5, 5 October 2014, CAR, CHI, AWAY, 31, 24, 322, 347
5, 5 October 2014, NYG, ATL, AWAY, 30, 20, 317, 397
5, 5 October 2014, DEN, ARI, AWAY, 41, 20, 568, 215
5, 5 October 2014, SF, KC, AWAY, 22, 17, 357, 265
5, 5 October 2014, LAC, NYJ, AWAY, 31, 0, 439, 151
5, 5 October 2014, NE, CIN, AWAY, 43, 17, 505, 320
5, 6 October 2014, WAS, SEA, AWAY, 27, 17, 403, 307
6, 9 October 2014, HOU, IND, AWAY, 33, 28, 456, 332
6, 12 October 2014, CLE, PIT, AWAY, 31, 10, 368, 359
6, 12 October 2014, NYJ, DEN, AWAY, 31, 17, 359, 204
6, 12 October 2014, TEN, JAX, AWAY, 16, 14, 290, 379
6, 12 October 2014, MIA, GB, AWAY, 27, 24, 369, 349
6, 12 October 2014, TB, BAL, AWAY, 48, 17, 475, 364
6, 12 October 2014, MIN, DET, HOME, 17, 3, 255, 212
6, 12 October 2014, BUF, NE, AWAY, 37, 22, 396, 336
6, 12 October 2014, CIN, CAR, TIE, 37, 37, 513, 431
6, 12 October 2014, OAK, LAC, AWAY, 31, 28, 423, 396
6, 12 October 2014, ARI, WAS, AWAY, 30, 20, 317, 407
6, 12 October 2014, ATL, CHI, AWAY, 27, 13, 478, 287
6, 12 October 2014, SEA, DAL, AWAY, 30, 23, 401, 206
6, 12 October 2014, PHI, NYG, AWAY, 27, 0, 448, 254
6, 13 October 2014, SLR, SF, AWAY, 31, 17, 432, 309
7, 16 October 2014, NE, NYJ, AWAY, 27, 25, 323, 423
7, 19 October 2014, SLR, SEA, AWAY, 28, 26, 275, 463
7, 19 October 2014, CHI, MIA, AWAY, 27, 14, 393, 224
7, 19 October 2014, JAX, CLE, HOME, 24, 6, 336, 266
7, 19 October 2014, IND, CIN, AWAY, 27, 0, 506, 135
7, 19 October 2014, WAS, TEN, AWAY, 19, 17, 351, 236
7, 19 October 2014, GB, CAR, AWAY, 38, 17, 363, 331
7, 19 October 2014, BAL, ATL, HOME, 29, 7, 371, 254
7, 19 October 2014, DET, NO, AWAY, 24, 23, 344, 408
7, 19 October 2014, BUF, MIN, AWAY, 17, 16, 373, 276
7, 19 October 2014, LAC, KC, AWAY, 23, 20, 365, 251
7, 19 October 2014, OAK, ARI, AWAY, 24, 13, 365, 220
7, 19 October 2014, DAL, NYG, AWAY, 31, 21, 423, 352
7, 19 October 2014, DEN, SF, AWAY, 42, 17, 419, 310
7, 20 October 2014, PIT, HOU, AWAY, 30, 23, 328, 393
8, 23 October 2014, DEN, LAC, AWAY, 35, 21, 425, 306
8, 26 October 2014, ATL, DET, AWAY, 22, 21, 385, 291
8, 26 October 2014, CIN, BAL, AWAY, 27, 24, 350, 294
8, 26 October 2014, NYJ, BUF, AWAY, 43, 23, 280, 312
8, 26 October 2014, NE, CHI, AWAY, 51, 23, 487, 384
8, 26 October 2014, JAX, MIA, AWAY, 27, 13, 326, 377
8, 26 October 2014, TEN, HOU, AWAY, 30, 16, 405, 326
8, 26 October 2014, TB, MIN, AWAY, 19, 13, 332, 225
8, 26 October 2014, KC, SLR, HOME, 34, 7, 355, 200
8, 26 October 2014, CAR, SEA, HOME, 13, 9, 310, 266
8, 26 October 2014, ARI, PHI, AWAY, 24, 20, 400, 521
8, 26 October 2014, CLE, OAK, AWAY, 23, 13, 306, 387
8, 26 October 2014, PIT, IND, AWAY, 51, 34, 639, 448
8, 26 October 2014, NO, GB, AWAY, 44, 23, 495, 491
8, 27 October 2014, DAL, WAS, AWAY, 20, 17, 409, 395
9, 30 October 2014, CAR, NO, AWAY, 28, 10, 375, 231
9, 2 November 2014, CLE, TB, AWAY, 22, 17, 330, 365
9, 2 November 2014, CIN, JAX, AWAY, 33, 23, 423, 365
9, 2 November 2014, MIA, LAC, AWAY, 37, 0, 441, 178
9, 2 November 2014, KC, NYJ, AWAY, 24, 10, 309, 364
9, 2 November 2014, MIN, WAS, AWAY, 29, 26, 352, 347
9, 2 November 2014, HOU, PHI, AWAY, 31, 21, 483, 300
9, 2 November 2014, DAL, ARI, AWAY, 28, 17, 339, 266
9, 2 November 2014, SF, SLR, AWAY, 13, 10, 193, 263
9, 2 November 2014, NE, DEN, AWAY, 43, 21, 398, 472
9, 2 November 2014, SEA, OAK, AWAY, 30, 24, 326, 226
9, 2 November 2014, PIT, BAL, AWAY, 43, 23, 376, 332
