WEEK,DATE,HOME,AWAY,WIN,PTS W,PTS L,YDS W,YDS L
1, 9 September 2010, NO, MIN, HOME, 14, 9, 308, 253
1, 12 September 2010, TB, CLE, AWAY, 17, 14, 288, 340
1, 12 September 2010, HOU, IND, AWAY, 34, 24, 355, 463
1, 12 September 2010, NE, CIN, AWAY, 38, 24, 376, 428
1, 12 September 2010, BUF, MIA, AWAY, 15, 10, 296, 166
1, 12 September 2010, TEN, OAK, AWAY, 38, 13, 345, 286
1, 12 September 2010, PIT, ATL, HOME, 15, 9, 354, 295
1, 12 September 2010, CHI, DET, AWAY, 19, 14, 463, 168
1, 12 September 2010, JAX, DEN, AWAY, 24, 17, 299, 363
1, 12 September 2010, NYG, CAR, AWAY, 31, 18, 376, 237
1, 12 September 2010, SLR, ARI, AWAY, 17, 13, 378, 325
1, 12 September 2010, SEA, SF, HOME, 31, 6, 242, 263
1, 12 September 2010, PHI, GB, AWAY, 27, 20, 299, 320
1, 12 September 2010, WAS, DAL, HOME, 13, 7, 250, 380
1, 13 September 2010, NYJ, BAL, HOME, 10, 9, 282, 176
1, 13 September 2010, KC, LAC, AWAY, 21, 14, 197, 389
2, 19 September 2010, DET, PHI, AWAY, 35, 32, 410, 444
2, 19 September 2010, CLE, KC, AWAY, 16, 14, 312, 299
2, 19 September 2010, CIN, BAL, AWAY, 15, 10, 253, 259
2, 19 September 2010, GB, BUF, HOME, 34, 7, 346, 186
2, 19 September 2010, TEN, PIT, AWAY, 19, 11, 127, 238
2, 19 September 2010, CAR, TB, HOME, 20, 7, 273, 278
2, 19 September 2010, ATL, ARI, HOME, 41, 7, 444, 267
2, 19 September 2010, DAL, CHI, AWAY, 27, 20, 308, 410
2, 19 September 2010, MIN, MIA, AWAY, 14, 10, 226, 364
2, 19 September 2010, OAK, SLR, AWAY, 16, 14, 404, 210
2, 19 September 2010, DEN, SEA, AWAY, 31, 14, 369, 339
2, 19 September 2010, LAC, JAX, AWAY, 38, 13, 477, 350
2, 19 September 2010, WAS, HOU, AWAY, 30, 27, 526, 421
2, 19 September 2010, NYJ, NE, AWAY, 28, 14, 336, 291
2, 19 September 2010, IND, NYG, AWAY, 38, 14, 410, 257
2, 20 September 2010, SF, NO, AWAY, 25, 22, 287, 417
3, 26 September 2010, NE, BUF, AWAY, 38, 30, 445, 374
3, 26 September 2010, CAR, CIN, HOME, 20, 7, 305, 267
3, 26 September 2010, BAL, CLE, AWAY, 24, 17, 365, 304
3, 26 September 2010, HOU, DAL, AWAY, 27, 13, 385, 340
3, 26 September 2010, NYG, TEN, AWAY, 29, 10, 271, 471
3, 26 September 2010, NO, ATL, AWAY, 27, 24, 417, 398
3, 26 September 2010, TB, PIT, AWAY, 38, 13, 387, 303
3, 26 September 2010, KC, SF, AWAY, 31, 10, 457, 251
3, 26 September 2010, MIN, DET, AWAY, 24, 10, 368, 295
3, 26 September 2010, JAX, PHI, HOME, 28, 3, 373, 191
