TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 23.4, 344.4, 251, 93.4, 20.3, 346.4, 233.7, 112.8
Atlanta, 22.7, 340.4, 223.2, 117.3, 20.3, 348.9, 242.1, 106.8
Baltimore, 24.4, 351.2, 213.7, 137.5, 16.3, 300.5, 207.3, 93.3
Buffalo, 16.1, 273.9, 157.2, 116.7, 20.4, 340.6, 184.3, 156.3
Carolina, 19.7, 331.1, 174.9, 156.1, 19.3, 315.8, 191, 124.8
Chicago, 20.4, 310.3, 217.1, 93.3, 23.4, 337.8, 211.4, 126.4
Cincinnati, 19.1, 309.1, 180.6, 128.5, 18.2, 301.4, 203.1, 98.3
Cleveland, 15.3, 260.2, 129.8, 130.4, 23.4, 389.3, 244.7, 144.6
Dallas, 22.6, 399.4, 267.9, 131.4, 15.6, 315.9, 225.4, 90.5
Denver, 20.4, 341.4, 226.7, 114.8, 20.3, 315, 186.3, 128.7
Detroit, 16.4, 299, 198, 101, 30.9, 392.1, 265.6, 126.6
Green Bay, 28.8, 379.1, 261.3, 117.8, 18.6, 284.4, 201.1, 83.3
Houston, 24.3, 383.1, 290.9, 92.2, 20.8, 324.9, 217.9, 106.9
Indianapolis, 26, 363.1, 282.2, 80.9, 19.2, 339.2, 212.7, 126.5
Jacksonville, 18.1, 336.6, 209.8, 126.8, 23.8, 352.3, 235.9, 116.4
Kansas City, 18.4, 303.2, 182.6, 120.6, 26.5, 388.2, 231.7, 156.5
LA Chargers, 28.4, 360.1, 271.1, 88.9, 20, 326.9, 209.3, 117.6
LA Rams, 10.9, 279.4, 167.9, 111.5, 27.3, 372.8, 235.3, 137.6
Miami, 22.5, 337.6, 198.1, 139.4, 24.4, 349.3, 234.6, 114.7
Minnesota, 29.4, 379.6, 259.8, 119.9, 19.5, 305.5, 218.4, 87.1
New England, 26.7, 397.3, 277.3, 120.1, 17.8, 320.2, 209.7, 110.5
New Orleans, 31.9, 403.8, 272.2, 131.6, 21.3, 357.8, 235.6, 122.2
NY Giants, 25.1, 366, 251.2, 114.8, 26.7, 324.9, 214.1, 110.8
NY Jets, 21.8, 321, 148.8, 172.3, 14.8, 252.3, 153.7, 98.6
Oakland, 12.3, 266.1, 159.8, 106.3, 23.7, 361.9, 206.4, 155.5
Philadelphia, 26.8, 357.9, 255.6, 102.3, 21.1, 321.1, 216.4, 104.7
Pittsburgh, 23, 371.3, 259.3, 112.1, 20.3, 305.3, 215.4, 89.9
Seattle, 17.5, 316.8, 218.9, 97.9, 24.4, 356.4, 245.4, 111
San Francisco, 20.6, 290.8, 190.8, 100, 17.6, 326.4, 229.4, 97
Tampa Bay, 15.3, 287.5, 185.9, 101.6, 25, 365.6, 207.4, 158.2
Tennessee, 22.1, 351.4, 189.4, 162, 25.1, 365.6, 258.7, 106.9
Washington, 16.6, 312.4, 218.1, 94.3, 21, 319.7, 207.3, 112.4
