TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 26.7, 365.8, 292.1, 73.6, 26.6, 331.5, 221.3, 110.3
Atlanta, 24.4, 361.2, 208.5, 152.7, 20.3, 348.3, 220.4, 127.9
Baltimore, 24.1, 324, 175.5, 148.5, 15.3, 261.1, 179.7, 81.4
Buffalo, 21, 305.1, 190, 115.1, 21.4, 326.1, 204.4, 121.6
Carolina, 25.9, 349.7, 197.4, 152.3, 20.6, 331.2, 211.7, 119.5
Chicago, 23.4, 295.9, 191.3, 104.6, 21.9, 334.7, 241.2, 93.5
Cincinnati, 12.8, 245.4, 150.4, 95, 22.8, 325.5, 205.4, 120.1
Cleveland, 14.5, 249.1, 148.8, 100.3, 21.9, 356.5, 204.6, 151.9
Dallas, 22.6, 344.5, 236.8, 107.7, 22.8, 294.3, 187.7, 106.6
Denver, 23.1, 395.8, 279.4, 116.4, 28, 374.6, 228.5, 146.1
Detroit, 16.8, 268.3, 185, 83.3, 32.3, 404.4, 232.3, 172.1
Green Bay, 26.2, 351.1, 238.3, 112.8, 23.8, 334.3, 202.8, 131.6
Houston, 22.9, 382.1, 266.7, 115.4, 24.6, 336.6, 213.9, 122.6
Indianapolis, 23.6, 335.5, 255.9, 79.6, 18.6, 310.9, 188.1, 122.9
Jacksonville, 18.9, 319.1, 208.3, 110.9, 22.9, 330.9, 224.1, 106.8
Kansas City, 18.2, 308.7, 195.6, 113.1, 27.5, 393.2, 234.3, 158.9
LA Chargers, 27.4, 349, 241.1, 107.9, 21.7, 349.9, 247.4, 102.6
LA Rams, 14.5, 287.3, 184.2, 103.1, 29.1, 371.9, 217.2, 154.7
Miami, 21.6, 345.6, 227, 118.6, 19.8, 329, 227.8, 101.3
Minnesota, 23.7, 330.9, 184.8, 146.1, 20.8, 292.4, 215.6, 76.9
New England, 25.6, 365.4, 223.1, 142.4, 19.3, 309, 201.4, 107.6
New Orleans, 28.9, 410.7, 311.1, 99.6, 24.6, 339.5, 221.7, 117.8
NY Giants, 26.7, 355.9, 198.6, 157.4, 18.4, 292, 196.2, 95.8
NY Jets, 25.3, 331.7, 206.4, 125.3, 22.3, 329.4, 234.5, 94.9
Oakland, 16.4, 272.3, 148.1, 124.2, 24.3, 360.9, 201.3, 159.7
Philadelphia, 26, 350.5, 244.4, 106.1, 18.1, 274.3, 182.1, 92.3
Pittsburgh, 21.7, 311.9, 206.3, 105.6, 13.9, 237.2, 156.9, 80.3
Seattle, 18.4, 274.1, 163.6, 110.5, 24.5, 378, 259.3, 118.7
San Francisco, 21.2, 311.1, 211.2, 99.9, 23.8, 326, 219.2, 106.8
Tampa Bay, 22.6, 341, 226.2, 114.8, 20.2, 306.1, 187.3, 118.8
Tennessee, 23.4, 313.6, 176.2, 137.4, 14.6, 293.6, 199.8, 93.9
Washington, 16.6, 320, 189.1, 130.9, 18.5, 288.8, 193.4, 95.4
