TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 19.4, 348.4, 277.3, 71.1, 24.2, 295.6, 193.6, 102
Atlanta, 21.9, 326.6, 167.4, 159.1, 21.3, 325, 196.1, 128.9
Baltimore, 16.6, 293.3, 193, 100.3, 18.7, 284.3, 184.9, 99.4
Buffalo, 16.9, 257.6, 157.2, 100.4, 22.9, 343.5, 205.7, 137.8
Carolina, 24.4, 309.4, 204.4, 104.9, 16.2, 282.6, 191.1, 91.6
Chicago, 16.3, 256.3, 125.1, 131.2, 12.6, 281.8, 179.5, 102.3
Cincinnati, 26.3, 358.1, 238.8, 119.4, 21.9, 338.7, 223.1, 115.6
Cleveland, 14.5, 284.4, 190.4, 93.9, 18.8, 316.8, 179.2, 137.6
Dallas, 20.3, 325.1, 208.8, 116.3, 19.3, 300.9, 192.7, 108.2
Denver, 24.7, 360.4, 201.7, 158.7, 16.1, 312.9, 227.7, 85.2
Detroit, 15.9, 269.9, 178, 91.9, 21.6, 322.4, 194.9, 127.5
Green Bay, 18.6, 319.9, 235.4, 84.5, 21.5, 293.1, 167.5, 125.6
Houston, 16.3, 253.3, 139.8, 113.5, 26.9, 364, 220.1, 143.9
Indianapolis, 27.4, 362.4, 256, 106.4, 15.4, 307.1, 196.9, 110.1
Jacksonville, 22.6, 321.8, 199.4, 122.4, 16.8, 290.9, 184.1, 106.8
Kansas City, 25.2, 387, 238.1, 148.9, 20.3, 328.1, 229.9, 98.1
LA Chargers, 26.1, 347.9, 218.4, 129.5, 19.5, 309.3, 224.9, 84.3
LA Rams, 22.7, 348.2, 252.3, 95.9, 26.8, 350.1, 214, 136.1
Miami, 19.9, 324.9, 206.3, 118.6, 19.8, 317.4, 206.7, 110.7
Minnesota, 19.1, 288.3, 196.6, 91.7, 21.5, 323.3, 208.3, 115.1
New England, 23.7, 352, 257.5, 94.5, 21.1, 330.2, 231.4, 98.8
New Orleans, 14.7, 314.4, 208.9, 105.5, 24.9, 312.1, 178.1, 134.1
NY Giants, 26.4, 361.7, 223.6, 138.1, 19.6, 327.5, 224, 103.5
NY Jets, 15, 248.1, 165.1, 83, 22.2, 308.8, 172.2, 136.6
Oakland, 18.1, 309.4, 223.9, 85.6, 23.9, 330.8, 202.7, 128.1
Philadelphia, 19.4, 319.3, 229.8, 89.5, 24.3, 325.4, 207.7, 117.7
Pittsburgh, 24.3, 321.8, 182.9, 138.9, 16.1, 284, 198, 86
Seattle, 28.3, 369.7, 216.1, 153.6, 16.9, 316.8, 222.4, 94.4
San Francisco, 14.9, 224.2, 118.6, 105.6, 26.8, 391.2, 276.7, 114.5
Tampa Bay, 18.8, 294.8, 180.6, 114.1, 17.1, 277.8, 183.1, 94.7
Tennessee, 18.7, 320.1, 224.8, 95.3, 26.3, 319.4, 201, 118.4
Washington, 22.4, 330.6, 194.1, 136.4, 18.3, 297.9, 192.6, 105.4
