TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 19.4, 319.8, 238, 81.8, 18.7, 368.2, 259.5, 108.7
Atlanta, 23.8, 378.2, 284.6, 93.6, 26.1, 398.3, 279.9, 118.4
Baltimore, 25.6, 364.9, 238.7, 126.2, 18.9, 336.9, 248.7, 88.3
Buffalo, 21.4, 318.5, 225.9, 92.6, 18.1, 312.2, 205.8, 106.4
Carolina, 21.2, 346.7, 219.4, 127.3, 23.4, 339.8, 227.8, 112
Chicago, 19.9, 327.1, 237, 90.1, 27.6, 377.1, 264.4, 112.7
Cincinnati, 22.8, 348, 213.8, 134.2, 21.5, 359.3, 243, 116.3
Cleveland, 18.7, 324.6, 216.6, 108, 21.1, 366.1, 224.5, 141.6
Dallas, 29.2, 383.6, 236.5, 147.1, 22, 355.1, 251.9, 103.1
Denver, 30.1, 402.9, 291.3, 111.6, 22.1, 305.2, 225.4, 79.8
Detroit, 20.1, 340.8, 251.9, 88.9, 17.6, 300.9, 231.6, 69.3
Green Bay, 30.4, 386.1, 266.3, 119.8, 21.8, 346.4, 226.4, 119.9
Houston, 23.3, 344.6, 209.5, 135.1, 19.2, 348.2, 243.1, 105.1
Indianapolis, 28.6, 406.6, 305.9, 100.8, 23.1, 342.7, 229.3, 113.4
Jacksonville, 15.6, 289.6, 187.6, 102.1, 25.8, 370.8, 243.7, 127.1
Kansas City, 22.1, 318.8, 198.9, 119.9, 17.6, 330.5, 203.3, 127.3
LA Chargers, 21.8, 341.6, 256.1, 85.4, 21.8, 338.3, 214.2, 124.1
LA Rams, 20.3, 314.7, 212.5, 102.2, 22.1, 351.6, 241.3, 110.3
Miami, 24.3, 350.1, 233.1, 117, 23.3, 343.4, 222.3, 121.1
Minnesota, 20.3, 315.5, 202.8, 112.8, 21.4, 344.7, 223.3, 121.4
New England, 29.3, 365.5, 257.6, 107.9, 19.6, 344.1, 239.8, 104.3
New Orleans, 25.1, 411.4, 297.8, 113.6, 26.5, 384, 251.2, 132.8
NY Giants, 23.8, 367.2, 267, 100.2, 25, 375.8, 240.6, 135.1
NY Jets, 17.7, 326.6, 184.1, 142.5, 25.1, 327.2, 234.1, 93.1
Oakland, 15.8, 282.2, 204.7, 77.5, 28.3, 357.6, 238.1, 119.4
Philadelphia, 29.6, 396.8, 272.3, 124.5, 25, 375.6, 264.9, 110.7
Pittsburgh, 27.3, 411.1, 301.6, 109.5, 23, 353.4, 253.1, 100.3
Seattle, 24.6, 375.8, 203.1, 172.6, 15.9, 267.1, 185.6, 81.5
San Francisco, 19.1, 327.4, 191.4, 136, 21.3, 321.4, 220.7, 100.8
Tampa Bay, 17.3, 292, 206.1, 85.9, 25.6, 368.9, 255.3, 113.7
Tennessee, 15.9, 303.7, 213.3, 90.4, 27.4, 373, 235.8, 137.2
Washington, 18.8, 358.6, 252.9, 105.7, 27.4, 357, 249.4, 107.6
