TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 16.4, 285.2, 171.3, 113.9, 26.1, 376.3, 242.1, 134.1
Atlanta, 25.1, 345.9, 197.9, 148, 19.6, 333.4, 205.4, 127.9
Baltimore, 19.8, 289.9, 177.9, 112, 22.1, 334.6, 224.4, 110.1
Buffalo, 23.7, 349.4, 249.7, 99.8, 24.8, 324.3, 191.7, 132.6
Carolina, 16.1, 267.5, 168.4, 99.1, 18.9, 290.4, 187.1, 103.3
Chicago, 17.6, 274.7, 190.7, 84, 23.7, 350.4, 220.6, 129.8
Cincinnati, 17.4, 325.4, 217.3, 108.1, 28.5, 329.1, 203.9, 125.2
Cleveland, 21.5, 314.2, 213.3, 100.9, 20, 334.3, 204.3, 129.9
Dallas, 13.6, 273.4, 163.8, 109.6, 20.6, 329.2, 215.6, 113.6
Denver, 24.5, 380.6, 239, 141.6, 21.5, 301.6, 208.6, 93.1
Detroit, 19.1, 279.4, 187.1, 92.3, 28.2, 382.3, 259.4, 122.9
Green Bay, 24.9, 347.5, 226.7, 120.8, 20.5, 311.6, 186.7, 124.9
Houston, 13.3, 223.3, 139.1, 84.2, 22.3, 326.9, 196.3, 130.6
Indianapolis, 21.8, 351, 253.4, 97.6, 19.6, 306.8, 182.3, 124.5
Jacksonville, 20.5, 303.2, 172.6, 130.6, 19.7, 333.4, 204, 129.4
Kansas City, 29.2, 375, 226.4, 148.6, 24.9, 390.5, 261.3, 129.2
LA Chargers, 20.8, 332.8, 199.3, 133.6, 22.9, 377.1, 268.4, 108.7
LA Rams, 19.8, 347.4, 259.6, 87.8, 23.1, 314.1, 200.6, 113.5
Miami, 23.6, 337, 180.6, 156.4, 18.8, 291, 193.9, 97.1
Minnesota, 24.4, 387, 230.3, 156.7, 27.6, 360.6, 256.4, 104.1
New England, 23.8, 317.8, 223.6, 94.3, 21.6, 336.1, 198.7, 137.4
New Orleans, 27, 325.3, 215.1, 110.3, 24.3, 362.3, 237.8, 124.4
NY Giants, 20, 364.1, 246.9, 117.2, 17.4, 309.3, 194.9, 114.4
NY Jets, 22.4, 314.8, 213.6, 101.1, 21, 341.4, 218.1, 123.3
Oakland, 28.1, 389.8, 279.7, 110.1, 19, 311.2, 220.4, 90.8
Philadelphia, 25.9, 350.3, 211.5, 138.8, 15.1, 297.1, 193.4, 103.8
Pittsburgh, 24.4, 372, 239.5, 132.5, 21.6, 302.2, 216.3, 85.9
Seattle, 22.2, 363.6, 254.9, 108.8, 23.1, 365.8, 213.2, 152.6
San Francisco, 22.9, 356.3, 216.1, 140.3, 21.9, 322.4, 219.1, 103.3
Tampa Bay, 21.6, 312.6, 215.3, 97.3, 12.3, 252.8, 155.6, 97.1
Tennessee, 22.9, 329.5, 207.5, 122, 20.3, 310.3, 221.3, 89
Washington, 19.2, 321.4, 203.4, 118.1, 22.8, 299.2, 189.6, 109.6
