TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 15.6, 263.1, 187.8, 75.3, 22.3, 337.8, 200.8, 137
Atlanta, 26.2, 369.1, 281.8, 87.3, 18.7, 365.6, 242.4, 123.2
Baltimore, 24.9, 352.5, 233.7, 118.8, 21.5, 350.9, 228.1, 122.8
Buffalo, 21.5, 342.9, 204.3, 138.6, 27.2, 362.9, 217.1, 145.8
Carolina, 22.3, 360.7, 230.2, 130.5, 22.7, 333.1, 223, 110.1
Chicago, 23.4, 310.6, 187.4, 123.1, 17.3, 315.6, 213.9, 101.7
Cincinnati, 24.4, 332.7, 223.6, 109.1, 20, 319.7, 212.5, 107.2
Cleveland, 18.9, 314.3, 214.7, 99.6, 23, 363.8, 245.2, 118.6
Dallas, 23.5, 374.6, 295.6, 79.1, 25, 355.4, 230.3, 125.2
Denver, 30.1, 397.9, 283.4, 114.5, 18.1, 290.8, 199.6, 91.1
Detroit, 23.3, 408.8, 307.9, 100.8, 27.3, 341.1, 223.1, 118.1
Green Bay, 27.1, 359.4, 253.1, 106.4, 21, 336.8, 218.3, 118.5
Houston, 26, 372.1, 239.4, 132.7, 20.7, 323.3, 225.8, 97.5
Indianapolis, 22.3, 362.4, 258, 104.4, 24.2, 374.3, 236.8, 137.5
Jacksonville, 15.9, 299.3, 213.7, 85.6, 27.8, 380.5, 239.5, 141
Kansas City, 13.2, 319.3, 169.6, 149.7, 26.6, 356.5, 220.8, 135.7
LA Chargers, 21.9, 297.3, 205.9, 91.3, 21.9, 326.4, 230.1, 96.4
LA Rams, 18.7, 329, 221.9, 107.1, 21.8, 342.6, 225.1, 117.5
Miami, 18, 311.5, 198.9, 112.6, 19.8, 356.8, 248.4, 108.4
Minnesota, 23.7, 336.6, 171.9, 164.6, 21.8, 350, 244.3, 105.8
New England, 34.8, 427.9, 291.4, 136.5, 20.7, 373.3, 271.4, 101.9
New Orleans, 28.8, 410.9, 312.3, 98.6, 28.4, 440.1, 292.6, 147.6
NY Giants, 26.8, 355.4, 239.1, 116.4, 21.5, 383.4, 254.3, 129.1
NY Jets, 17.6, 299.2, 180.7, 118.5, 23.4, 323.4, 189.8, 133.6
Oakland, 18.1, 344, 255.3, 88.8, 27.7, 354.5, 235.9, 118.6
Philadelphia, 17.5, 354.1, 236.9, 117.1, 27.8, 343.2, 216.9, 126.3
Pittsburgh, 21, 332.8, 236.7, 96.1, 19.6, 275.8, 185.2, 90.6
Seattle, 25.8, 350.6, 189.4, 161.2, 15.3, 306.2, 203.1, 103.1
San Francisco, 24.8, 361.8, 206.1, 155.7, 17.1, 294.4, 200.2, 94.2
Tampa Bay, 24.3, 363.8, 248.9, 114.8, 24.6, 379.9, 297.4, 82.5
Tennessee, 20.6, 313.1, 207.7, 105.4, 29.4, 374.9, 247.8, 127.2
Washington, 27.3, 383.2, 213.9, 169.3, 24.3, 377.7, 281.9, 95.8
