TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 30.6, 408.3, 288.5, 119.8, 19.6, 321.7, 230.4, 91.3
Atlanta, 21.2, 374.4, 273.7, 100.7, 21.6, 347.6, 242.6, 105
Baltimore, 20.5, 359.3, 266.9, 92.4, 25.1, 337.4, 233.6, 103.8
Buffalo, 23.7, 360.9, 208.9, 152, 22.4, 356.4, 248.3, 108.1
Carolina, 31.3, 366.9, 224.3, 142.6, 19.3, 322.9, 234.5, 88.4
Chicago, 20.9, 344.6, 228.9, 115.7, 24.8, 345.4, 224.6, 120.9
Cincinnati, 26.2, 358, 245.2, 112.8, 17.4, 340.8, 248.5, 92.3
Cleveland, 17.4, 331.9, 236.4, 95.6, 27, 379.2, 250.8, 128.4
Dallas, 17.2, 335.1, 216.9, 118.1, 23.4, 348.1, 227.3, 120.9
Denver, 22.2, 355.5, 248.1, 107.4, 18.5, 283.1, 199.6, 83.6
Detroit, 22.4, 346.7, 263.3, 83.4, 25, 349.6, 236.8, 112.8
Green Bay, 23, 334.6, 218.9, 115.6, 20.2, 346.7, 227.6, 119.1
Houston, 21.2, 347.8, 239.6, 108.2, 19.6, 310.2, 210.4, 99.8
Indianapolis, 20.8, 321.4, 231.5, 89.9, 25.5, 379.1, 257.1, 122
Jacksonville, 23.5, 348.8, 256.8, 92.1, 28, 375, 268.2, 106.8
Kansas City, 25.3, 331.2, 203.4, 127.8, 17.9, 329.3, 231.1, 98.2
LA Chargers, 20, 371.8, 286.9, 84.9, 24.9, 361.9, 236.6, 125.3
LA Rams, 17.5, 297.6, 175.3, 122.3, 20.6, 367.8, 254.1, 113.8
Miami, 19.4, 331.7, 238.2, 93.5, 24.3, 376.2, 250, 126.2
Minnesota, 22.8, 321.2, 183, 138.2, 18.9, 344.2, 234.9, 109.3
New England, 29.1, 374.4, 286.7, 87.8, 19.7, 339.4, 240.7, 98.8
New Orleans, 25.5, 403.8, 310.6, 93.2, 29.8, 413.8, 284, 129.8
NY Giants, 26.3, 372.3, 271.7, 100.6, 27.6, 420.3, 298.9, 121.4
NY Jets, 24.2, 370.3, 253.6, 116.8, 19.6, 318.6, 235.2, 83.4
Oakland, 22.4, 333.5, 242.4, 91.1, 24.9, 363.6, 258.8, 104.9
Philadelphia, 23.6, 364.4, 255.4, 108.9, 26.9, 401.6, 267.1, 134.6
Pittsburgh, 26.4, 395.4, 287.7, 107.8, 19.9, 363.1, 271.9, 91.2
Seattle, 26.4, 378.6, 236.9, 141.8, 17.3, 291.8, 210.3, 81.5
San Francisco, 14.9, 303.8, 207.3, 96.5, 24.2, 387.4, 261.2, 126.3
Tampa Bay, 21.4, 375.9, 240.8, 135.1, 26.1, 340.4, 240, 100.4
Tennessee, 18.7, 311.8, 218.9, 92.8, 26.4, 342.2, 229.9, 112.3
Washington, 24.3, 353.8, 255.9, 97.9, 23.7, 380.6, 258, 122.6
