TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 19.6, 312.5, 228.9, 83.6, 24.3, 349.4, 230.9, 118.6
Atlanta, 18.3, 331.9, 148.2, 183.7, 20.5, 332.8, 229.3, 103.6
Baltimore, 22.1, 317, 214.7, 102.3, 12.6, 264.1, 188.2, 75.9
Buffalo, 18.8, 266.9, 169.9, 97, 19.4, 329.6, 188.7, 140.9
Carolina, 16.9, 307.7, 204, 103.7, 19.1, 296.1, 187.5, 108.6
Chicago, 26.7, 324.9, 205.1, 119.9, 15.9, 294.1, 194.8, 99.4
Cincinnati, 23.3, 341.4, 239.6, 101.8, 20.7, 355.1, 238.6, 116.4
Cleveland, 14.9, 264.6, 181.1, 83.4, 22.3, 344.8, 202.6, 142.2
Dallas, 26.6, 360.8, 239.8, 121, 21.9, 322.8, 219.1, 103.7
Denver, 19.9, 309.4, 174.9, 134.5, 19.1, 326.4, 213.1, 113.3
Detroit, 19.1, 309.3, 238.8, 70.6, 24.9, 345.6, 220, 125.6
Green Bay, 18.8, 341.1, 237.2, 103.9, 22.9, 320.9, 206.8, 114.1
Houston, 16.7, 279.1, 173.6, 105.4, 22.9, 337.5, 215.3, 122.3
Indianapolis, 26.7, 379.4, 269.3, 110.1, 22.5, 332.3, 159.3, 173
Jacksonville, 23.2, 338.9, 180.1, 158.8, 17.1, 283.6, 192.4, 91.3
Kansas City, 20.7, 321.4, 187.5, 133.9, 19.7, 328.9, 208.4, 120.5
LA Chargers, 30.8, 365, 203.9, 161.1, 18.9, 301.6, 200.8, 100.8
LA Rams, 22.9, 360.4, 247.6, 112.8, 23.8, 335.1, 189.7, 145.4
Miami, 16.3, 310, 205.4, 104.6, 17.7, 289.1, 187.9, 101.1
Minnesota, 17.6, 308.9, 195.2, 113.8, 20.4, 300.2, 238.6, 61.6
New England, 24.1, 335.6, 212.5, 123.1, 14.8, 294.4, 200.2, 94.2
New Orleans, 25.8, 391.5, 281.4, 110.1, 20.1, 307.3, 178.4, 128.9
NY Giants, 22.2, 325.9, 191.1, 134.8, 22.6, 342.4, 228.1, 114.4
NY Jets, 19.8, 305.7, 197.1, 108.6, 18.4, 331.6, 201.4, 130.3
Oakland, 10.5, 246.2, 151.3, 94.9, 20.8, 284.8, 150.8, 134
Philadelphia, 24.9, 381.4, 257.4, 124, 20.5, 328.1, 191.7, 136.4
Pittsburgh, 22.1, 357.8, 233.3, 124.5, 19.7, 300.3, 212.1, 88.3
Seattle, 20.9, 311.1, 190.9, 120.2, 21.3, 330.3, 203.5, 126.8
San Francisco, 18.6, 303.8, 168, 135.8, 25.8, 344.2, 223.2, 121
Tampa Bay, 13.2, 270.1, 174.9, 95.2, 22.1, 329.4, 209.6, 119.8
Tennessee, 20.3, 300.6, 162.3, 138.4, 25, 369.7, 225.1, 144.6
Washington, 19.2, 327.7, 189.2, 138.5, 23.5, 355.5, 218.2, 137.3
