TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 17.8, 284.4, 180.1, 104.3, 20.1, 321.3, 189.8, 131.6
Atlanta, 21.3, 317.8, 150.8, 167, 21.1, 325.4, 220.4, 105.1
Baltimore, 19.8, 273.4, 144.5, 128.9, 16.8, 300.2, 195.1, 105.1
Buffalo, 24.7, 293.2, 176.1, 117.1, 17.8, 264.3, 164, 100.3
Carolina, 22.2, 326.6, 227.7, 98.9, 21.2, 336.4, 217.4, 119
Chicago, 14.4, 238.5, 137, 101.5, 20.7, 336.9, 208.8, 128.1
Cincinnati, 23.4, 321.3, 206.3, 114.9, 23.3, 335.3, 206.4, 128.9
Cleveland, 17.3, 280.1, 176.5, 103.6, 24.4, 325.9, 181.3, 144.6
Dallas, 18.3, 324.8, 214.3, 110.6, 25.3, 330.3, 220.1, 110.3
Denver, 23.8, 395.8, 249.9, 145.8, 19, 278.7, 184.2, 94.5
Detroit, 18.5, 293.3, 182.3, 111.1, 21.9, 337.6, 219.6, 117.9
Green Bay, 26.5, 397.3, 278.1, 119.3, 23.8, 346.3, 228.9, 117.4
Houston, 19.3, 320.5, 202.9, 117.6, 21.2, 341.1, 225.9, 115.2
Indianapolis, 32.6, 404.7, 288.9, 115.8, 21.9, 370.6, 243.3, 127.3
Jacksonville, 16.3, 313.1, 197.4, 115.6, 17.5, 320.9, 209.8, 111.1
Kansas City, 30.2, 418.4, 275.4, 143.1, 27.2, 377.3, 262.7, 114.6
LA Chargers, 27.9, 346.4, 209.8, 136.6, 19.6, 335, 253.3, 81.7
LA Rams, 19.9, 367.3, 265.8, 101.5, 24.5, 334.6, 198.4, 136.2
Miami, 17.2, 275.3, 191.6, 83.7, 22.1, 305.9, 162, 143.9
Minnesota, 25.3, 396.2, 282.3, 113.9, 24.7, 368.9, 243.5, 125.4
New England, 27.3, 357.6, 224.3, 133.4, 16.3, 310.8, 212.5, 98.3
New Orleans, 21.8, 324.6, 224.2, 100.4, 25.3, 383.8, 243, 140.8
NY Giants, 18.9, 295.1, 176.1, 119, 21.7, 324.2, 189.4, 134.8
NY Jets, 20.8, 339.9, 190.6, 149.3, 16.3, 304.9, 207, 97.9
Oakland, 20, 322.1, 241.1, 80.9, 27.6, 371, 245.3, 125.8
Philadelphia, 24.1, 351.1, 248.7, 102.4, 16.3, 319.7, 200.8, 118.9
Pittsburgh, 23.3, 324, 170, 154, 15.7, 258.4, 177.2, 81.2
Seattle, 23.2, 352.1, 221.2, 130.9, 23.3, 351.3, 224.4, 126.9
San Francisco, 16.2, 286.6, 196, 90.6, 28.3, 342.6, 217.9, 124.7
Tampa Bay, 18.8, 310.2, 217.1, 93.1, 19, 284.5, 161.2, 123.3
Tennessee, 21.5, 342.9, 226, 116.9, 27.4, 357.8, 237.9, 119.8
Washington, 15, 274.8, 164.5, 110.3, 16.6, 267.6, 186.1, 81.5
