TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 18.4, 314.1, 227.5, 86.6, 22.6, 310.9, 221.3, 89.6
Atlanta, 22.1, 364.8, 249.4, 115.4, 19.7, 318.4, 214.3, 104.1
Baltimore, 24.7, 305.4, 189.4, 116, 18.9, 325.1, 213.8, 111.3
Buffalo, 18.9, 302.6, 176.6, 126.1, 22.4, 355.1, 230.5, 124.6
Carolina, 22.7, 323.7, 192.3, 131.4, 20.4, 317.1, 229.1, 88.1
Chicago, 16.5, 287.4, 175.7, 111.8, 20, 319.1, 211, 108.1
Cincinnati, 18, 280.5, 195.1, 85.4, 21.8, 339.1, 211.2, 127.9
Cleveland, 14.6, 308.9, 201.8, 107.1, 25.6, 328.1, 230.3, 97.9
Dallas, 22.1, 331.9, 196.3, 135.6, 20.8, 318.1, 214.1, 104
Denver, 18.1, 324.1, 208.3, 115.8, 23.9, 290, 200.6, 89.4
Detroit, 25.6, 337.8, 261.4, 76.3, 23.5, 355.8, 243.3, 112.5
Green Bay, 20, 305.7, 197.9, 107.8, 24, 348.9, 236.8, 112.1
Houston, 21.1, 320, 204.9, 115.1, 27.3, 346.6, 237.4, 109.2
Indianapolis, 16.4, 284.6, 180.8, 103.8, 25.3, 367.1, 246.6, 120.4
Jacksonville, 26.1, 365.9, 224.6, 141.4, 16.8, 286.1, 169.9, 116.3
Kansas City, 25.9, 375.4, 256.5, 118.9, 21.2, 365.1, 247, 118.1
LA Chargers, 22.2, 376.6, 276.9, 99.7, 17, 328.4, 197.3, 131.1
LA Rams, 29.9, 361.5, 239.4, 122.1, 20.6, 339.6, 217.2, 122.4
Miami, 17.6, 307.7, 220.9, 86.8, 24.6, 335.7, 225.2, 110.5
Minnesota, 23.9, 356.9, 234.6, 122.3, 15.8, 275.9, 192.4, 83.6
New England, 28.6, 394.2, 276.1, 118.1, 18.5, 366, 251.3, 114.8
New Orleans, 28, 391.2, 261.8, 129.4, 20.4, 336.5, 224.8, 111.7
NY Giants, 15.4, 314.3, 217.4, 96.8, 24.3, 373.2, 252.4, 120.8
NY Jets, 18.6, 305.3, 198.9, 106.4, 23.9, 352.3, 234.3, 117.9
Oakland, 18.8, 324.1, 226.9, 97.1, 23.3, 350.1, 241.1, 108.9
Philadelphia, 28.6, 365.8, 233.6, 132.2, 18.4, 306.5, 227.3, 79.2
Pittsburgh, 25.4, 377.9, 273.8, 104.2, 19.3, 306.9, 201.1, 105.8
Seattle, 22.9, 330.4, 228.6, 101.8, 20.8, 323.2, 209.2, 114
San Francisco, 20.7, 349.3, 245.3, 104, 23.9, 351.6, 235.3, 116.3
Tampa Bay, 20.9, 363.5, 272.9, 90.6, 23.9, 378.1, 260.6, 117.5
Tennessee, 20.9, 314, 199.4, 114.6, 22.3, 328, 239.3, 88.8
Washington, 21.4, 324.9, 234.4, 90.5, 24.3, 347.9, 213.8, 134.1
