TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 14.1, 280.6, 184.9, 95.7, 28.3, 344, 224.3, 119.7
Atlanta, 18.7, 272.3, 150.5, 121.8, 26.4, 381.8, 237.5, 144.3
Baltimore, 24.4, 308.1, 140.9, 167.1, 17.6, 271.3, 175.3, 96
Buffalo, 15.2, 271.8, 167.8, 104, 17.4, 269.6, 169.2, 100.4
Carolina, 20.3, 321.3, 190.6, 130.7, 19, 295.3, 187.7, 107.6
Chicago, 17.7, 273.8, 163.6, 110.2, 21.6, 309.2, 192.6, 116.6
Cincinnati, 21.6, 333.1, 208.9, 124.2, 24, 351.3, 212.6, 138.6
Cleveland, 15.9, 281.5, 177.1, 104.4, 20.1, 309.9, 177.9, 132.1
Dallas, 18.1, 322.6, 197.6, 124.9, 16.3, 253.5, 164.4, 89.1
Denver, 23.8, 349.9, 185.6, 164.3, 18.8, 277.1, 176.8, 100.3
Detroit, 16.9, 266.4, 182.8, 83.6, 23.7, 335, 223.6, 111.4
Green Bay, 27.6, 362.4, 202.5, 159.9, 19.2, 318.8, 212.5, 106.3
Houston, 15.9, 269.1, 165.9, 103.2, 23.8, 380.1, 232, 148.1
Indianapolis, 27.9, 367.1, 261.2, 105.9, 21, 299.3, 175.6, 123.8
Jacksonville, 17.3, 334.9, 205.3, 129.6, 20.7, 291.1, 203.2, 87.9
Kansas City, 30.3, 369.4, 248.8, 120.6, 20.8, 356.7, 210.2, 146.5
LA Chargers, 19.6, 322.9, 188.8, 134.1, 27.6, 349.6, 210.9, 138.6
LA Rams, 27.9, 341.1, 247.6, 93.5, 20.5, 315.8, 192, 123.8
Miami, 19.4, 288.1, 174.5, 113.6, 16.3, 299.2, 208.4, 90.8
Minnesota, 26, 393.4, 246.9, 146.4, 22.1, 334.8, 217.3, 117.4
New England, 21.8, 314.9, 214.5, 100.4, 14.9, 291.6, 202, 89.6
New Orleans, 21.3, 339.9, 214.9, 125, 20.4, 327.1, 187.1, 140.1
NY Giants, 15.2, 308.9, 211.4, 97.4, 24.2, 332.5, 213.3, 119.3
NY Jets, 17.7, 309.4, 207.3, 102.2, 18.7, 332.4, 189.1, 143.4
Oakland, 16.9, 285.8, 171.9, 113.9, 23.7, 369, 212.1, 156.9
Philadelphia, 23.4, 314.7, 188.8, 125.9, 17.9, 331.7, 202.3, 129.4
Pittsburgh, 18.8, 299.5, 206.5, 93, 20.4, 298.9, 190.1, 108.8
Seattle, 25.3, 351.7, 226.1, 125.6, 20.4, 327.4, 217.5, 109.9
San Francisco, 24, 355.4, 213, 142.4, 21.1, 308, 202.4, 105.6
Tampa Bay, 18.8, 340.8, 237.8, 103, 16.5, 279.1, 169.4, 109.8
Tennessee, 27.2, 343.8, 242.4, 101.4, 20.3, 306.3, 225.4, 80.9
Washington, 17.9, 291.2, 187.9, 103.3, 23.3, 338.3, 199.7, 138.6
