TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 23.7, 346.4, 250.1, 96.3, 20.3, 317.4, 233, 84.4
Atlanta, 22.1, 343.1, 265.2, 77.9, 27.7, 379.4, 243.6, 135.8
Baltimore, 20, 307.4, 224.4, 83, 22, 335.5, 230.1, 105.4
Buffalo, 21.2, 338.1, 193.9, 144.2, 24.3, 333.4, 204.4, 128.9
Carolina, 22.9, 316.8, 190.2, 126.6, 15.1, 301.3, 214.3, 86.9
Chicago, 27.8, 381.8, 267.6, 114.3, 29.9, 394.6, 233.1, 161.4
Cincinnati, 26.9, 368.2, 258.5, 109.7, 19.1, 305.5, 209, 96.5
Cleveland, 19.3, 339.4, 252.9, 86.4, 25.4, 332.4, 221.1, 111.3
Dallas, 27.4, 341.1, 247.1, 94, 27, 415.3, 286.8, 128.5
Denver, 37.9, 457.3, 340.3, 117.1, 24.9, 356, 254.4, 101.6
Detroit, 24.7, 392.1, 280.1, 112, 23.5, 346.6, 246.9, 99.8
Green Bay, 26.1, 400.3, 266.8, 133.5, 26.8, 372.3, 247.3, 125
Houston, 17.3, 347.3, 238.3, 108.9, 26.8, 317.6, 195.2, 122.4
Indianapolis, 24.4, 341.8, 232.8, 108.9, 21, 357.1, 231.9, 125.1
Jacksonville, 15.4, 293.8, 215.1, 78.8, 28.1, 379.4, 247.6, 131.8
Kansas City, 26.9, 337.3, 208.8, 128.5, 19.1, 367.8, 247.6, 120.2
LA Chargers, 24.8, 393.3, 270.5, 122.8, 21.8, 366.5, 258.7, 107.8
LA Rams, 21.8, 304.8, 195.3, 109.5, 22.8, 345, 242.1, 102.9
Miami, 19.8, 312.9, 222.9, 90, 20.9, 359.4, 234.5, 124.9
Minnesota, 24.4, 344.3, 214.2, 130.1, 30, 397.6, 287.2, 110.4
New England, 27.8, 384.5, 255.4, 129.1, 21.1, 373.1, 239, 134.1
New Orleans, 25.9, 399.4, 307.4, 92.1, 19, 305.7, 194.1, 111.6
NY Giants, 18.4, 307.5, 224.3, 83.3, 23.9, 332.3, 223.3, 108.9
NY Jets, 18.1, 318.1, 183.3, 134.9, 24.2, 334.9, 246.7, 88.3
Oakland, 20.1, 333.8, 208.8, 125, 28.3, 363.7, 255.8, 107.9
Philadelphia, 27.6, 417.3, 256.9, 160.4, 23.9, 394, 289.8, 104.3
Pittsburgh, 23.7, 337.5, 251.1, 86.4, 23.1, 337.6, 222.1, 115.6
Seattle, 26.1, 339, 202.3, 136.8, 14.4, 273.6, 172, 101.6
San Francisco, 25.4, 323.8, 186.2, 137.6, 17, 316.9, 221, 95.9
Tampa Bay, 18, 277, 176.3, 100.8, 24.3, 348, 237.9, 110.1
Tennessee, 22.6, 336.9, 218.5, 118.4, 23.8, 337.9, 225.8, 112.2
Washington, 20.9, 369.7, 234.4, 135.3, 29.9, 354.1, 243.5, 110.6
