TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 25.3, 344.1, 254.1, 90, 24.9, 330.2, 232.3, 97.9
Atlanta, 16.2, 301, 206, 95, 25.9, 355.5, 228.4, 127.1
Baltimore, 17.2, 302, 189.7, 112.3, 24, 301.6, 222.3, 79.3
Buffalo, 15.8, 277.1, 164.6, 112.5, 22.1, 362.9, 238.4, 124.6
Carolina, 16.7, 284.9, 170.9, 114, 21.7, 324.8, 214.1, 110.7
Chicago, 20.9, 293.3, 210.1, 83.1, 21.8, 354.7, 231.8, 122.9
Cincinnati, 23.8, 348, 250.8, 97.3, 24.1, 348.8, 230.4, 118.3
Cleveland, 25.1, 351.3, 232.9, 118.4, 23.9, 359.6, 230.1, 129.5
Dallas, 28.4, 365.7, 256.6, 109.1, 20.3, 307.6, 213.1, 94.6
Denver, 20, 346.3, 224, 122.3, 25.6, 336, 193.4, 142.6
Detroit, 21.6, 322.9, 242.4, 80.5, 27.8, 377.6, 258.2, 119.4
Green Bay, 27.2, 370.7, 270.9, 99.8, 18.2, 313.3, 210.4, 102.9
Houston, 23.7, 333.6, 234.4, 99.1, 24, 344.2, 230.1, 114.1
Indianapolis, 28.1, 358.7, 252.1, 106.6, 16.4, 279.7, 172.8, 106.9
Jacksonville, 25.7, 357.4, 208, 149.4, 19, 313.8, 213.5, 100.3
Kansas City, 14.1, 276.8, 198.8, 78, 20.9, 319.4, 188.9, 130.6
LA Chargers, 25.8, 315.3, 187.8, 127.4, 17.8, 320.3, 213.3, 107
LA Rams, 16.4, 297.5, 202.1, 95.4, 27.4, 341.1, 225.8, 115.3
Miami, 16.7, 287.5, 189.4, 98.1, 27.3, 342.2, 188.7, 153.5
Minnesota, 22.8, 336.2, 171.6, 164.6, 19.4, 338.1, 264.1, 74.1
New England, 36.8, 411.3, 295.7, 115.6, 17.1, 288.3, 190.1, 98.3
New Orleans, 23.7, 361.3, 269.6, 91.6, 24.3, 348.1, 245.3, 102.9
NY Giants, 23.3, 331.4, 197.1, 134.3, 21.9, 305, 207.3, 97.7
NY Jets, 16.8, 294.7, 188.4, 106.3, 22.2, 331.9, 197.1, 134.8
Oakland, 17.7, 294.8, 164.4, 130.4, 24.9, 341.6, 195.8, 145.9
Philadelphia, 21, 358.1, 234.7, 123.4, 18.8, 311.4, 215.6, 95.8
Pittsburgh, 24.6, 327.4, 191.9, 135.5, 16.8, 266.4, 176.5, 89.9
Seattle, 24.6, 348.9, 247.8, 101.2, 18.2, 321.8, 219.1, 102.8
San Francisco, 13.7, 237.3, 145, 92.3, 22.8, 346.2, 227.7, 118.5
Tampa Bay, 20.9, 326.8, 209.8, 117, 16.9, 278.4, 170.5, 107.9
Tennessee, 18.8, 311.7, 179.9, 131.8, 18.6, 291.6, 199.2, 92.4
Washington, 20.9, 333.4, 216.4, 116.9, 19.4, 305.3, 214, 91.3
