TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 19.5, 324.5, 222.9, 101.6, 21.8, 355.1, 231, 124.1
Atlanta, 25.1, 376.6, 262, 114.6, 21.9, 333.6, 236.6, 97
Baltimore, 23.6, 338.7, 213.9, 124.8, 16.6, 288.9, 196.3, 92.6
Buffalo, 23.3, 351.5, 231.4, 120.1, 27.1, 371.1, 232.1, 139
Carolina, 25.4, 389.8, 239.3, 150.5, 26.8, 377.6, 246.8, 130.8
Chicago, 22.1, 314.1, 188.2, 125.9, 21.3, 350.4, 254.1, 96.4
Cincinnati, 21.5, 319.9, 208.8, 111.1, 20.2, 316.3, 211.6, 104.7
Cleveland, 13.6, 288.8, 193.1, 95.7, 19.2, 332.4, 184.9, 147.4
Dallas, 23.1, 375.5, 262.6, 112.9, 21.7, 343.2, 244.1, 99.1
Denver, 19.3, 316.6, 152.1, 164.5, 24.4, 357.8, 231.5, 126.3
Detroit, 29.6, 396.1, 300.9, 95.2, 24.2, 367.6, 239.4, 128.1
Green Bay, 35, 405.1, 307.8, 97.4, 22.4, 411.6, 299.8, 111.8
Houston, 23.8, 372.1, 219.1, 153, 17.4, 285.7, 189.7, 96
Indianapolis, 15.2, 286.8, 187.2, 99.6, 26.9, 370.9, 227, 143.9
Jacksonville, 15.2, 259.3, 136.2, 123.1, 20.6, 313, 208.8, 104.2
Kansas City, 13.3, 310.8, 192.5, 118.3, 21.1, 333.3, 201.3, 132
LA Chargers, 25.4, 393.1, 276.6, 116.5, 23.6, 346.6, 224.4, 122.2
LA Rams, 12.1, 283.6, 179.4, 104.2, 25.4, 358.4, 206.3, 152.1
Miami, 20.6, 317.4, 193.2, 124.2, 19.6, 345.1, 249.5, 95.6
Minnesota, 21.3, 329.7, 184.8, 144.9, 28.1, 358.2, 251.2, 107
New England, 32.1, 428, 317.8, 110.3, 21.4, 411.1, 293.9, 117.1
New Orleans, 34.2, 467.1, 334.2, 132.9, 21.2, 368.4, 259.8, 108.6
NY Giants, 24.6, 385.1, 295.9, 89.2, 25, 376.4, 255.1, 121.3
NY Jets, 23.6, 311.8, 206.1, 105.8, 22.7, 312.1, 201, 111.1
Oakland, 22.4, 379.5, 247.6, 131.9, 27.1, 387.6, 251.4, 136.1
Philadelphia, 24.8, 399.1, 256.9, 142.3, 20.5, 324.9, 212.3, 112.6
Pittsburgh, 20.3, 372.3, 253.4, 118.9, 14.2, 271.8, 171.9, 99.8
Seattle, 20.1, 303.8, 194.1, 109.8, 19.7, 332.2, 219.9, 112.3
San Francisco, 23.8, 310.9, 183.1, 127.8, 14.3, 308.2, 230.9, 77.3
Tampa Bay, 17.9, 319.3, 228.1, 91.1, 30.9, 394.4, 238.4, 156.1
Tennessee, 20.3, 335.1, 245.2, 89.9, 19.8, 355.1, 226.8, 128.3
Washington, 18, 336.7, 235.8, 100.9, 22.9, 339.8, 222.1, 117.8
