TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 26.1, 366.8, 258.5, 108.3, 22.6, 305.2, 210.3, 94.9
Atlanta, 33.8, 415.8, 295.3, 120.5, 25.4, 371.2, 266.7, 104.5
Baltimore, 21.4, 347.7, 256.3, 91.4, 20.1, 322.1, 232.8, 89.4
Buffalo, 24.9, 354.1, 189.8, 164.4, 23.6, 357, 223.9, 133.1
Carolina, 23.1, 343.7, 230.3, 113.4, 25.1, 359.8, 268.2, 91.6
Chicago, 17.4, 356.5, 248.1, 108.4, 24.9, 346.8, 224.9, 121.9
Cincinnati, 20.3, 356.9, 246.4, 110.6, 19.7, 350.8, 237.5, 113.3
Cleveland, 16.5, 311, 204, 107, 28.3, 392.4, 249.8, 142.7
Dallas, 26.3, 376.7, 226.9, 149.8, 19.1, 343.9, 260.4, 83.5
Denver, 20.8, 323.1, 230.3, 92.8, 18.6, 316.1, 185.8, 130.3
Detroit, 21.6, 338.8, 256.9, 81.9, 22.4, 354.8, 248.4, 106.3
Green Bay, 27, 368.8, 262.4, 106.3, 24.3, 363.9, 269.3, 94.7
Houston, 17.4, 314.7, 198.5, 116.2, 20.5, 301.3, 201.6, 99.7
Indianapolis, 25.7, 364.4, 262.6, 101.8, 24.5, 382.9, 262.5, 120.4
Jacksonville, 19.9, 334.9, 233, 101.9, 25, 321.7, 215.3, 106.4
Kansas City, 24.3, 343, 233.8, 109.3, 19.4, 368.5, 247.4, 121.1
LA Chargers, 25.6, 356.8, 262.4, 94.4, 26.4, 347.1, 249.2, 97.9
LA Rams, 14, 262.7, 184.4, 78.3, 24.6, 337, 233.3, 103.8
Miami, 22.7, 332.8, 218.8, 114, 23.8, 382.6, 242.2, 140.4
Minnesota, 20.4, 315.1, 239.8, 75.3, 19.2, 314.9, 207.9, 106.9
New England, 27.6, 386.3, 269.3, 117, 15.6, 326.4, 237.9, 88.6
New Orleans, 29.3, 426, 317.1, 108.9, 28.4, 375.4, 273.8, 101.6
NY Giants, 19.4, 330.7, 242.4, 88.3, 17.8, 339.7, 251.1, 88.6
NY Jets, 17.2, 329.3, 216.6, 112.6, 25.6, 342.4, 243.6, 98.8
Oakland, 26, 373.3, 253.2, 120.1, 24.1, 375.1, 257.5, 117.6
Philadelphia, 22.9, 337.4, 224.1, 113.3, 20.7, 342.8, 239.5, 103.3
Pittsburgh, 24.9, 372.6, 262.6, 110, 20.4, 342.6, 242.6, 100
Seattle, 22.1, 357.2, 257.8, 99.4, 18.3, 318.7, 225.8, 92.9
San Francisco, 19.3, 308.1, 181.9, 126.2, 30, 406.4, 240.5, 165.9
Tampa Bay, 22.1, 346.4, 245.4, 101, 23.1, 367.9, 250.8, 117.2
Tennessee, 23.8, 358, 221.3, 136.7, 23.6, 357.5, 269.2, 88.3
Washington, 24.8, 403.4, 297.4, 106, 23.9, 377.9, 258.1, 119.8
