WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 5 September 2013, DEN, BAL, -7.5, 48, N/A, N/A
1, 8 September 2013, DET, MIN, -4, 46.5, N/A, N/A
1, 8 September 2013, IND, OAK, -11, 45.5, N/A, N/A
1, 8 September 2013, KC, JAX, -3.5, 42.5, N/A, N/A
1, 8 September 2013, NE, BUF, -10, 50.5, N/A, N/A
1, 8 September 2013, SEA, CAR, -3, 44.5, N/A, N/A
1, 8 September 2013, CHI, CIN, -3, 41.5, N/A, N/A
1, 8 September 2013, CLE, MIA, -2.5, 41, N/A, N/A
1, 8 September 2013, NO, ATL, -3.5, 54.5, N/A, N/A
1, 8 September 2013, TB, NYJ, -4, 39.5, N/A, N/A
1, 8 September 2013, PIT, TEN, -6, 42, N/A, N/A
1, 8 September 2013, SF, GB, -5, 47, N/A, N/A
1, 8 September 2013, SLR, ARI, -3.5, 41.5, N/A, N/A
1, 8 September 2013, DAL, NYG, -3.5, 49.5, N/A, N/A
1, 9 September 2013, WAS, PHI, -4, 52, N/A, N/A
1, 9 September 2013, HOU, LAC, -4.5, 44, N/A, N/A
2, 12 September 2013, NE, NYJ, -11, 43, N/A, N/A
2, 15 September 2013, PHI, LAC, -7.5, 52, N/A, N/A
2, 15 September 2013, ATL, SLR, -4.5, 47.5, N/A, N/A
2, 15 September 2013, BAL, CLE, -6.5, 43.5, N/A, N/A
2, 15 September 2013, CAR, BUF, -3.5, 43.5, N/A, N/A
2, 15 September 2013, CHI, MIN, -6, 41, N/A, N/A
2, 15 September 2013, GB, WAS, -7, 49, N/A, N/A
2, 15 September 2013, HOU, TEN, -7.5, 42, N/A, N/A
2, 15 September 2013, IND, MIA, -1.5, 43, N/A, N/A
2, 15 September 2013, KC, DAL, -3, 45.5, N/A, N/A
2, 15 September 2013, DET, ARI, -2, 47.5, N/A, N/A
2, 15 September 2013, NO, TB, -3, 48.5, N/A, N/A
2, 15 September 2013, DEN, NYG, -3.5, 53, N/A, N/A
2, 15 September 2013, OAK, JAX, -3.5, 41, N/A, N/A
2, 15 September 2013, SEA, SF, -3, 44, N/A, N/A
2, 16 September 2013, CIN, PIT, -6.5, 40.5, N/A, N/A
3, 19 September 2013, PHI, KC, -3, 50, N/A, N/A
3, 22 September 2013, TEN, LAC, -3, 43.5, N/A, N/A
3, 22 September 2013, DET, WAS, -1, 48.5, N/A, N/A
3, 22 September 2013, BAL, HOU, -1, 44.5, N/A, N/A
3, 22 September 2013, CAR, NYG, -1, 47, N/A, N/A
3, 22 September 2013, GB, CIN, -2.5, 49.5, N/A, N/A
3, 22 September 2013, DAL, SLR, -3.5, 47, N/A, N/A
3, 22 September 2013, MIN, CLE, -6.5, 40.5, N/A, N/A
3, 22 September 2013, NE, TB, -7, 44.5, N/A, N/A
3, 22 September 2013, NO, ARI, -7, 48.5, N/A, N/A
3, 22 September 2013, MIA, ATL, -3, 45.5, N/A, N/A
3, 22 September 2013, SEA, JAX, -19, 40.5, N/A, N/A
3, 22 September 2013, SF, IND, -10, 46, N/A, N/A
3, 22 September 2013, NYJ, BUF, -2.5, 41, N/A, N/A
3, 22 September 2013, CHI, PIT, -2.5, 40.5, N/A, N/A
3, 23 September 2013, DEN, OAK, -16, 49, N/A, N/A
4, 26 September 2013, SF, SLR, -3, 42.5, N/A, N/A
4, 29 September 2013, PIT, MIN, -3, 41.5, N/A, N/A
4, 29 September 2013, BAL, BUF, -3, 44.5, N/A, N/A
4, 29 September 2013, CIN, CLE, -3.5, 42.5, N/A, N/A
4, 29 September 2013, DET, CHI, -3, 48, N/A, N/A
4, 29 September 2013, SEA, HOU, -1, 41.5, N/A, N/A
4, 29 September 2013, IND, JAX, -9, 42.5, N/A, N/A
4, 29 September 2013, KC, NYG, -3.5, 44, N/A, N/A
4, 29 September 2013, TB, ARI, -2.5, 40.5, N/A, N/A
4, 29 September 2013, TEN, NYJ, -3.5, 40.5, N/A, N/A
4, 29 September 2013, WAS, OAK, -3.5, 45.5, N/A, N/A
4, 29 September 2013, DAL, LAC, -1, 47, N/A, N/A
4, 29 September 2013, DEN, PHI, -10.5, 57.5, N/A, N/A
4, 29 September 2013, ATL, NE, -3, 49, N/A, N/A
4, 30 September 2013, NO, MIA, -7, 48.5, N/A, N/A
5, 3 October 2013, CLE, BUF, -3.5, 41, N/A, N/A
5, 6 October 2013, KC, TEN, -2.5, 38, N/A, N/A
5, 6 October 2013, CHI, NO, 0, 50.5, N/A, N/A
5, 6 October 2013, NE, CIN, -1.5, 45.5, N/A, N/A
