WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 8 September 2016, CAR, DEN, -3, 41, -165, 145
1, 11 September 2016, HOU, CHI, -6, 42.5, 220, -260
1, 11 September 2016, ATL, TB, -3, 47, 115, -135
1, 11 September 2016, BAL, BUF, -3, 45, 130, -150
1, 11 September 2016, GB, JAX, -6, 48, -210, 175
1, 11 September 2016, KC, LAC, -7, 46, 240, -280
1, 11 September 2016, NO, OAK, -3, 51, 130, -150
1, 11 September 2016, CIN, NYJ, -3, 42, -115, -105
1, 11 September 2016, PHI, CLE, -4, 41.5, 165, -190
1, 11 September 2016, MIN, TEN, -3, 40.5, -145, 125
1, 11 September 2016, SEA, MIA, -10.5, 43.5, 375, -500
1, 11 September 2016, NYG, DAL, -1.5, 48, -120, 100
1, 11 September 2016, IND, DET, -3, 51.5, 130, -150
1, 11 September 2016, ARI, NE, -9, 45, 300, -400
1, 12 September 2016, PIT, WAS, -3, 50, -155, 135
1, 12 September 2016, LAR, SF, -3, 42.5, -145, 125
2, 15 September 2016, BUF, NYJ, -1, 40.5, -105, -115
2, 18 September 2016, CAR, SF, -12, 44.5, 450, -625
2, 18 September 2016, BAL, CLE, -4.5, 42, -222, 180
2, 18 September 2016, DET, TEN, -6, 48, 210, -270
2, 18 September 2016, HOU, KC, -1, 42, -105, -115
2, 18 September 2016, NE, MIA, -5.5, 42.5, 200, -250
2, 18 September 2016, NYG, NO, -3.5, 54, 155, -185
2, 18 September 2016, PIT, CIN, -3, 48.5, 145, -165
2, 18 September 2016, WAS, DAL, -3.5, 47, 160, -180
2, 18 September 2016, ARI, TB, -7, 49.5, 265, -330
2, 18 September 2016, SEA, LAR, -5.5, 38, -250, 200
2, 18 September 2016, LAC, JAX, -3, 47.5, 130, -150
2, 18 September 2016, DEN, IND, -6.5, 47, 230, -280
2, 18 September 2016, OAK, ATL, -4, 47.5, 170, -200
2, 18 September 2016, GB, MIN, -1.5, 42.5, -126, 106
2, 19 September 2016, CHI, PHI, -3, 43, 140, -160
3, 22 September 2016, NE, HOU, -1, 39.5, -105, -115
3, 25 September 2016, NYG, WAS, -3.5, 47, 160, -180
3, 25 September 2016, MIA, CLE, -10, 42, 333, -450
3, 25 September 2016, OAK, TEN, -2, 47, -125, 105
3, 25 September 2016, ARI, BUF, -4.5, 48, -215, 185
3, 25 September 2016, CAR, MIN, -6, 43, 220, -270
3, 25 September 2016, CIN, DEN, -3.5, 41.5, 155, -185
3, 25 September 2016, GB, DET, -6, 47.5, 213, -275
3, 25 September 2016, BAL, JAX, -2.5, 45, -135, 115
3, 25 September 2016, SEA, SF, -10, 42, 375, -450
3, 25 September 2016, TB, LAR, -3.5, 40.5, 159, -179
3, 25 September 2016, PIT, PHI, -4, 46.5, -200, 170
3, 25 September 2016, KC, NYJ, -3, 44, 135, -165
3, 25 September 2016, IND, LAC, -1.5, 51, 105, -125
3, 25 September 2016, DAL, CHI, -6.5, 45, 215, -265
3, 26 September 2016, NO, ATL, -3, 54, 131, -151
4, 29 September 2016, CIN, MIA, -7.5, 46, 300, -380
4, 2 October 2016, IND, JAX, -1.5, 48, -125, 100
4, 2 October 2016, NE, BUF, -3.5, 41, 165, -200
4, 2 October 2016, SEA, NYJ, -1, 40, -115, -105
4, 2 October 2016, HOU, TEN, -4, 40, 170, -200
4, 2 October 2016, CAR, ATL, -3, 48.5, -162, 135
4, 2 October 2016, BAL, OAK, -3.5, 45, 160, -175
4, 2 October 2016, DET, CHI, -3.5, 48, -180, 157
4, 2 October 2016, WAS, CLE, -7.5, 47.5, 275, -350
4, 2 October 2016, DEN, TB, -3.5, 43, -180, 150
4, 2 October 2016, ARI, LAR, -9.5, 43.5, 370, -440
4, 2 October 2016, DAL, SF, -1.5, 44.5, -125, 105
4, 2 October 2016, LAC, NO, -3.5, 54, 166, -185
4, 2 October 2016, PIT, KC, -3.5, 48.5, 150, -180
4, 3 October 2016, MIN, NYG, -3.5, 42.5, 155, -175
5, 6 October 2016, ARI, SF, -3.5, 42.5, -189, 170
5, 9 October 2016, MIA, TEN, -2.5, 44, 120, -140
5, 9 October 2016, MIN, HOU, -6, 38.5, 220, -270
5, 9 October 2016, PIT, NYJ, -9, 50, 300, -400
5, 9 October 2016, BAL, WAS, -3.5, 44, 165, -200
5, 9 October 2016, NE, CLE, -10, 48, -600, 400
5, 9 October 2016, PHI, DET, -3.5, 46, -196, 160
5, 9 October 2016, IND, CHI, -3.5, 47.5, 160, -200
5, 9 October 2016, DEN, ATL, -4, 44.5, 165, -200
5, 9 October 2016, OAK, LAC, -3.5, 50.5, 163, -200
5, 9 October 2016, BUF, LAR, -2.5, 41.5, -137, 115
5, 9 October 2016, CIN, DAL, -2.5, 45.5, -140, 120
5, 9 October 2016, GB, NYG, -7, 48.5, 255, -310
5, 10 October 2016, CAR, TB, -5.5, 46.5, 200, -250
6, 13 October 2016, DEN, LAC, -3, 44.5, -160, 140
6, 16 October 2016, PIT, MIA, -7.5, 49.5, -351, 275
6, 16 October 2016, NE, CIN, -7.5, 48, 280, -350
6, 16 October 2016, CAR, NO, -2.5, 53.5, -145, 125
6, 16 October 2016, NYG, BAL, -3.5, 42.5, 165, -200
6, 16 October 2016, BUF, SF, -7.5, 44.5, 280, -345
6, 16 October 2016, CHI, JAX, -2.5, 46.5, 115, -135
6, 16 October 2016, DET, LAR, -2.5, 44.5, 125, -145
6, 16 October 2016, TEN, CLE, -7.5, 44.5, 260, -320
6, 16 October 2016, PHI, WAS, -3, 45, -155, 135
6, 16 October 2016, KC, OAK, -2, 46.5, -130, 105
6, 16 October 2016, SEA, ATL, -6.5, 45.5, 250, -300
6, 16 October 2016, GB, DAL, -5.5, 47.5, 190, -240
6, 16 October 2016, HOU, IND, -3, 48, 145, -165
6, 17 October 2016, ARI, NYJ, -7, 45.5, 280, -335
7, 20 October 2016, GB, CHI, -7.5, 46.5, 280, -350
