WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 9 September 2010, NO, MIN, -5, 48, N/A, N/A
1, 12 September 2010, NYG, CAR, -6, 41, N/A, N/A
1, 12 September 2010, ARI, SLR, -3, 39, N/A, N/A
1, 12 September 2010, NE, CIN, -5.5, 44.5, N/A, N/A
1, 12 September 2010, MIA, BUF, -3, 39.5, N/A, N/A
1, 12 September 2010, CHI, DET, -6.5, 45, N/A, N/A
1, 12 September 2010, IND, HOU, -1.5, 47.5, N/A, N/A
1, 12 September 2010, JAX, DEN, -3, 41, N/A, N/A
1, 12 September 2010, GB, PHI, -3, 48, N/A, N/A
1, 12 September 2010, PIT, ATL, -3, 39, N/A, N/A
1, 12 September 2010, SF, SEA, -3, 37, N/A, N/A
1, 12 September 2010, TB, CLE, -2.5, 37, N/A, N/A
1, 12 September 2010, TEN, OAK, -6, 39.5, N/A, N/A
1, 12 September 2010, DAL, WAS, -3, 40, N/A, N/A
1, 13 September 2010, LAC, KC, -5, 44.5, N/A, N/A
1, 13 September 2010, NYJ, BAL, -2, 36, N/A, N/A
2, 19 September 2010, ATL, ARI, -6.5, 43, N/A, N/A
2, 19 September 2010, CAR, TB, -3.5, 38.5, N/A, N/A
2, 19 September 2010, BAL, CIN, -2.5, 40, N/A, N/A
2, 19 September 2010, CLE, KC, -3, 38.5, N/A, N/A
2, 19 September 2010, DAL, CHI, -7.5, 41, N/A, N/A
2, 19 September 2010, DEN, SEA, -3.5, 41, N/A, N/A
2, 19 September 2010, PHI, DET, -7, 41.5, N/A, N/A
2, 19 September 2010, GB, BUF, -12.5, 43, N/A, N/A
2, 19 September 2010, IND, NYG, -5, 48.5, N/A, N/A
2, 19 September 2010, LAC, JAX, -7, 45, N/A, N/A
2, 19 September 2010, MIN, MIA, -5.5, 40.5, N/A, N/A
2, 19 September 2010, NE, NYJ, -3, 38.5, N/A, N/A
2, 19 September 2010, OAK, SLR, -3.5, 37.5, N/A, N/A
2, 19 September 2010, TEN, PIT, -6, 36.5, N/A, N/A
2, 19 September 2010, HOU, WAS, -3, 43, N/A, N/A
2, 20 September 2010, NO, SF, -5.5, 44, N/A, N/A
3, 19 September 2010, ATL, ARI, -6.5, 43, N/A, N/A
3, 19 September 2010, CAR, TB, -3.5, 38.5, N/A, N/A
3, 19 September 2010, BAL, CIN, -2.5, 40, N/A, N/A
3, 19 September 2010, CLE, KC, -3, 38.5, N/A, N/A
3, 19 September 2010, DAL, CHI, -7.5, 41, N/A, N/A
3, 19 September 2010, DEN, SEA, -3.5, 41, N/A, N/A
3, 19 September 2010, PHI, DET, -7, 41.5, N/A, N/A
3, 19 September 2010, GB, BUF, -12.5, 43, N/A, N/A
3, 19 September 2010, IND, NYG, -5, 48.5, N/A, N/A
3, 19 September 2010, LAC, JAX, -7, 45, N/A, N/A
3, 19 September 2010, MIN, MIA, -5.5, 40.5, N/A, N/A
3, 19 September 2010, NE, NYJ, -3, 38.5, N/A, N/A
3, 19 September 2010, OAK, SLR, -3.5, 37.5, N/A, N/A
3, 19 September 2010, TEN, PIT, -6, 36.5, N/A, N/A
3, 19 September 2010, HOU, WAS, -3, 43, N/A, N/A
3, 20 September 2010, NO, SF, -5.5, 44, N/A, N/A
4, 3 October 2010, ATL, SF, -7, 42.5, N/A, N/A
4, 3 October 2010, NYJ, BUF, -5.5, 36.5, N/A, N/A
4, 3 October 2010, CIN, CLE, -1.5, 36.5, N/A, N/A
4, 3 October 2010, GB, DET, -15, 46, N/A, N/A
4, 3 October 2010, IND, JAX, -7, 45.5, N/A, N/A
4, 3 October 2010, LAC, ARI, -10, 46, N/A, N/A
4, 3 October 2010, SEA, SLR, -2, 40, N/A, N/A
4, 3 October 2010, NO, CAR, -12.5, 43.5, N/A, N/A
4, 3 October 2010, NYG, CHI, -3.5, 44, N/A, N/A
4, 3 October 2010, HOU, OAK, -3.5, 43.5, N/A, N/A
4, 3 October 2010, PHI, WAS, -5.5, 43, N/A, N/A
4, 3 October 2010, PIT, BAL, -2.5, 34.5, N/A, N/A
4, 3 October 2010, TEN, DEN, -6.5, 43.5, N/A, N/A
4, 4 October 2010, MIA, NE, -1, 47.5, N/A, N/A
5, 10 October 2010, NO, ARI, -7, 45, N/A, N/A
5, 10 October 2010, BAL, DEN, -7, 39, N/A, N/A
5, 10 October 2010, BUF, JAX, -1, 41, N/A, N/A
5, 10 October 2010, CAR, CHI, -1, 33, N/A, N/A
5, 10 October 2010, CIN, TB, -7, 38, N/A, N/A
5, 10 October 2010, ATL, CLE, -3, 41, N/A, N/A
