WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 7 September 2017, NE, KC, -9, 48, 400, -450
1, 10 September 2017, TB, MIA, -2.5, 41.5, -140, 120
1, 10 September 2017, TEN, OAK, -2.5, 50.5, 127, -137
1, 10 September 2017, PHI, WAS, -1.5, 49.5, -120, 110
1, 10 September 2017, BUF, NYJ, -7.5, 42.5, 325, -360
1, 10 September 2017, ATL, CHI, -6.5, 48, -286, 258
1, 10 September 2017, CIN, BAL, -2.5, 41.5, 125, -135
1, 10 September 2017, PIT, CLE, -10, 47, -485, 425
1, 10 September 2017, ARI, DET, -2, 48.5, -123, 113
1, 10 September 2017, HOU, JAX, -6, 37.5, 210, -230
1, 10 September 2017, LAR, IND, -3, 41.5, 167, -178
1, 10 September 2017, GB, SEA, -2.5, 49.5, 120, -130
1, 10 September 2017, CAR, SF, -4.5, 45, -200, 185
1, 10 September 2017, DAL, NYG, -5.5, 46, 215, -235
1, 11 September 2017, MIN, NO, -3, 47.5, 155, -165
1, 11 September 2017, DEN, LAC, -3, 42, 133, -143
2, 14 September 2017, CIN, HOU, -5.5, 38.5, 200, -220
2, 17 September 2017, BAL, CLE, -7.5, 39.5, 295, -325
2, 17 September 2017, CAR, BUF, -6.5, 43.5, 248, -270
2, 17 September 2017, ARI, IND, -6.5, 43.5, -280, 255
2, 17 September 2017, TEN, JAX, -1.5, 41.5, -118, 108
2, 17 September 2017, KC, PHI, -4, 46.5, 175, -190
2, 17 September 2017, NE, NO, -5.5, 55, -230, 210
2, 17 September 2017, PIT, MIN, -8.5, 43, 320, -355
2, 17 September 2017, TB, CHI, -7, 44, 275, -305
2, 17 September 2017, OAK, NYJ, -14, 43.5, 700, -900
2, 17 September 2017, LAC, MIA, -3.5, 46.5, 167, -178
2, 17 September 2017, LAR, WAS, -3, 46.5, 140, -150
2, 17 September 2017, DAL, DEN, -2.5, 44, -128, 118
2, 17 September 2017, SEA, SF, -13.5, 41.5, 725, -925
2, 17 September 2017, ATL, GB, -3, 54.5, 158, -168
2, 18 September 2017, NYG, DET, -3, 42.5, 150, -160
3, 21 September 2017, LAR, SF, -3, 40.5, -148, 138
3, 24 September 2017, BAL, JAX, -3, 38, -160, 150
3, 24 September 2017, CLE, IND, -1, 42, -105, -105
3, 24 September 2017, DEN, BUF, -3.5, 40, -170, 160
3, 24 September 2017, CAR, NO, -5, 46.5, 205, -225
3, 24 September 2017, PIT, CHI, -7, 43.5, -300, 270
3, 24 September 2017, ATL, DET, -3, 50.5, -157, 147
3, 24 September 2017, TB, MIN, -1, 41, -105, -105
3, 24 September 2017, NE, HOU, -13.5, 44.5, 700, -900
3, 24 September 2017, MIA, NYJ, -5.5, 43, -220, 200
3, 24 September 2017, PHI, NYG, -5, 42, 195, -215
3, 24 September 2017, TEN, SEA, -2.5, 41.5, 118, -128
3, 24 September 2017, GB, CIN, -7, 47.5, 300, -330
3, 24 September 2017, KC, LAC, -3, 47.5, -145, 135
3, 24 September 2017, OAK, WAS, -3, 53.5, -173, 163
3, 25 September 2017, DAL, ARI, -3, 46.5, -146, 136
4, 28 September 2017, GB, CHI, -7, 44, 315, -345
4, 1 October 2017, NO, MIA, -4, 52, -190, 175
4, 1 October 2017, MIN, DET, -2.5, 43.5, 135, -145
4, 1 October 2017, NE, CAR, -9, 48, 410, -460
4, 1 October 2017, JAX, NYJ, -4, 38.5, -190, 175
4, 1 October 2017, TEN, HOU, -2.5, 43.5, -140, 130
4, 1 October 2017, ATL, BUF, -8, 48, 328, -365
4, 1 October 2017, PIT, BAL, -3.5, 42, -185, 170
4, 1 October 2017, CIN, CLE, -3.5, 41.5, -170, 160
4, 1 October 2017, DAL, LAR, -5.5, 50.5, 215, -235
4, 1 October 2017, ARI, SF, -6.5, 43.5, 235, -255
4, 1 October 2017, LAC, PHI, -2, 48, 116, -126
4, 1 October 2017, TB, NYG, -2.5, 45.5, 120, -130
4, 1 October 2017, DEN, OAK, -3.5, 43.5, 170, -185
4, 1 October 2017, SEA, IND, -12, 41.5, 650, -825
4, 2 October 2017, KC, WAS, -6.5, 48, 260, -290
5, 5 October 2017, NE, TB, -3.5, 54.5, -185, 170
5, 8 October 2017, PHI, ARI, -6, 44.5, 230, -250
5, 8 October 2017, PIT, JAX, -7, 41, 280, -310
5, 8 October 2017, CIN, BUF, -3, 39.5, 140, -150
5, 8 October 2017, NYJ, CLE, -1.5, 41.5, -120, 110
5, 8 October 2017, DET, CAR, -2, 41.5, 113, -123
5, 8 October 2017, SF, IND, -1, 43.5, 105, -115
5, 8 October 2017, TEN, MIA, -1, 41.5, 104, -114
5, 8 October 2017, NYG, LAC, -3, 45.5, 150, -160
5, 8 October 2017, OAK, BAL, -3, 40.5, 140, -150
5, 8 October 2017, LAR, SEA, -2, 46.5, 113, -123
5, 8 October 2017, DAL, GB, -2.5, 52, 123, -133
5, 8 October 2017, KC, HOU, -1.5, 45.5, -120, 110
5, 9 October 2017, MIN, CHI, -3.5, 41, -185, 170
6, 12 October 2017, CAR, PHI, -3, 44, 135, -145
6, 15 October 2017, ATL, MIA, -14, 46, 680, -870
6, 15 October 2017, BAL, CHI, -5, 39.5, 190, -210
6, 15 October 2017, GB, MIN, -3, 46, -152, 142
6, 15 October 2017, NO, DET, -5.5, 50.5, 210, -230
6, 15 October 2017, NE, NYJ, -9.5, 48.5, -420, 375
6, 15 October 2017, HOU, CLE, -7, 46, 310, -340
