WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 4 September 2014, SEA, GB, -4.5, 47, N/A, N/A
1, 7 September 2014, NO, ATL, -3, 51, N/A, N/A
1, 7 September 2014, BAL, CIN, -1, 43.5, N/A, N/A
1, 7 September 2014, CHI, BUF, -7, 47, N/A, N/A
1, 7 September 2014, HOU, WAS, -3, 43.5, N/A, N/A
1, 7 September 2014, KC, TEN, -3, 44.5, N/A, N/A
1, 7 September 2014, SLR, MIN, -2.5, 43.5, N/A, N/A
1, 7 September 2014, NE, MIA, -4, 46.5, N/A, N/A
1, 7 September 2014, NYJ, OAK, -6.5, 41, N/A, N/A
1, 7 September 2014, PHI, JAX, -10, 48.5, N/A, N/A
1, 7 September 2014, PIT, CLE, -5.5, 41.5, N/A, N/A
1, 7 September 2014, SF, DAL, -3.5, 49, N/A, N/A
1, 7 September 2014, TB, CAR, -4.5, 38.5, N/A, N/A
1, 7 September 2014, DEN, IND, -8, 53.5, N/A, N/A
1, 8 September 2014, DET, NYG, -6, 45.5, N/A, N/A
1, 8 September 2014, ARI, LAC, -3, 46.5, N/A, N/A
2, 11 September 2014, BAL, PIT, -2.5, 44.5, N/A, N/A
2, 14 September 2014, BUF, MIA, -1, 43, N/A, N/A
2, 14 September 2014, CAR, DET, -1.5, 43.5, N/A, N/A
2, 14 September 2014, CIN, ATL, -5.5, 49, N/A, N/A
2, 14 September 2014, NO, CLE, -5, 49.5, N/A, N/A
2, 14 September 2014, NE, MIN, -3, 49, N/A, N/A
2, 14 September 2014, NYG, ARI, -2, 41.5, N/A, N/A
2, 14 September 2014, TEN, DAL, -3, 49.5, N/A, N/A
2, 14 September 2014, WAS, JAX, -5, 43, N/A, N/A
2, 14 September 2014, SEA, LAC, -4.5, 45, N/A, N/A
2, 14 September 2014, TB, SLR, -4, 37.5, N/A, N/A
2, 14 September 2014, HOU, OAK, -3, 41, N/A, N/A
2, 14 September 2014, DEN, KC, -13, 48.5, N/A, N/A
2, 14 September 2014, GB, NYJ, -7, 46.5, N/A, N/A
2, 14 September 2014, SF, CHI, -7, 47, N/A, N/A
2, 15 September 2014, IND, PHI, -3, 53.5, N/A, N/A
3, 18 September 2014, ATL, TB, -6.5, 47, N/A, N/A
3, 21 September 2014, BUF, LAC, -2.5, 45.5, N/A, N/A
3, 21 September 2014, PHI, WAS, -4, 49.5, N/A, N/A
3, 21 September 2014, CIN, TEN, -6.5, 43.5, N/A, N/A
3, 21 September 2014, BAL, CLE, -1.5, 43, N/A, N/A
3, 21 September 2014, DET, GB, -1, 51.5, N/A, N/A
3, 21 September 2014, IND, JAX, -6, 45.5, N/A, N/A
3, 21 September 2014, DAL, SLR, -2, 45, N/A, N/A
3, 21 September 2014, NE, OAK, -14, 47, N/A, N/A
3, 21 September 2014, NO, MIN, -10, 49.5, N/A, N/A
3, 21 September 2014, NYG, HOU, -1, 41.5, N/A, N/A
3, 21 September 2014, SF, ARI, -3, 41, N/A, N/A
3, 21 September 2014, SEA, DEN, -4, 48, N/A, N/A
3, 21 September 2014, MIA, KC, -5.5, 43, N/A, N/A
3, 21 September 2014, CAR, PIT, -3, 42, N/A, N/A
3, 22 September 2014, NYJ, CHI, -1.5, 45, N/A, N/A
4, 25 September 2014, WAS, NYG, -3, 44.5, N/A, N/A
4, 28 September 2014, BAL, CAR, -3, 42.5, N/A, N/A
4, 28 September 2014, GB, CHI, -1.5, 51, N/A, N/A
4, 28 September 2014, HOU, BUF, -3, 44, N/A, N/A
4, 28 September 2014, IND, TEN, -7.5, 45.5, N/A, N/A
4, 28 September 2014, NYJ, DET, -1, 43.5, N/A, N/A
4, 28 September 2014, MIA, OAK, -3.5, 41, N/A, N/A
4, 28 September 2014, PIT, TB, -7, 44.5, N/A, N/A
4, 28 September 2014, LAC, JAX, -13, 45, N/A, N/A
4, 28 September 2014, ATL, MIN, -5, 47.5, N/A, N/A
4, 28 September 2014, SF, PHI, -3.5, 49, N/A, N/A
4, 28 September 2014, NO, DAL, -3, 53.5, N/A, N/A
4, 29 September 2014, NE, KC, -3, 45.5, N/A, N/A
5, 2 October 2014, GB, MIN, -8, 48, N/A, N/A
5, 5 October 2014, IND, BAL, -2.5, 49, N/A, N/A
5, 5 October 2014, PIT, JAX, -5.5, 47.5, N/A, N/A
5, 5 October 2014, NO, TB, -10.5, 48, N/A, N/A
5, 5 October 2014, NYG, ATL, -4.5, 50.5, N/A, N/A
5, 5 October 2014, PHI, SLR, -4, 48, N/A, N/A
5, 5 October 2014, CAR, CHI, -2, 46.5, N/A, N/A
5, 5 October 2014, DAL, HOU, -5, 47.5, N/A, N/A
5, 5 October 2014, CLE, TEN, -1, 44, N/A, N/A
5, 5 October 2014, DET, BUF, -4.5, 43, N/A, N/A
5, 5 October 2014, DEN, ARI, -8.5, 47, N/A, N/A
5, 5 October 2014, SF, KC, -4, 43, N/A, N/A
5, 5 October 2014, LAC, NYJ, -6.5, 44, N/A, N/A
5, 5 October 2014, CIN, NE, -2.5, 45.5, N/A, N/A
5, 6 October 2014, SEA, WAS, -7, 45, N/A, N/A
6, 9 October 2014, IND, HOU, -3, 46.5, -145, 125
6, 12 October 2014, BAL, TB, -3.5, 44, -180, 160
6, 12 October 2014, TEN, JAX, -4, 42.5, 170, -200
6, 12 October 2014, ATL, CHI, -3, 56, 155, -175
6, 12 October 2014, NE, BUF, -1, 44.5, -115, -105
6, 12 October 2014, CIN, CAR, -7, 43.5, 250, -300
6, 12 October 2014, CLE, PIT, -1.5, 46.5, 110, -130
6, 12 October 2014, GB, MIA, -1.5, 47, -130, 110
6, 12 October 2014, MIN, DET, -1, 43, 100, -120
6, 12 October 2014, DEN, NYJ, -10, 47, -500, 400
6, 12 October 2014, LAC, OAK, -7.5, 44, -360, 300
6, 12 October 2014, ARI, WAS, -5.5, 47, 200, -240
6, 12 October 2014, SEA, DAL, -9, 47, 350, -450
6, 12 October 2014, PHI, NYG, -1.5, 51, 105, -125
6, 13 October 2014, SF, SLR, -3.5, 44, -200, 170
7, 16 October 2014, NE, NYJ, -9.5, 44, 400, -500
7, 19 October 2014, SEA, SLR, -7, 43.5, -300, 250
7, 19 October 2014, WAS, TEN, -6, 46.5, 220, -260
7, 19 October 2014, BAL, ATL, -6.5, 50, 250, -275
7, 19 October 2014, BUF, MIN, -6.5, 43.5, 230, -270
7, 19 October 2014, CHI, MIA, -3, 47.5, 145, -165
7, 19 October 2014, DET, NO, -1, 46.5, 100, -120
7, 19 October 2014, GB, CAR, -6.5, 49, 230, -300
7, 19 October 2014, IND, CIN, -3, 50.5, 160, -180
7, 19 October 2014, CLE, JAX, -4, 44.5, -210, 180
7, 19 October 2014, LAC, KC, -3, 45.5, 140, -160
