WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 8 September 2011, GB, NO, -4, 47.5, N/A, N/A
1, 11 September 2011, HOU, IND, -8.5, 43.5, N/A, N/A
1, 11 September 2011, TEN, JAX, -1, 37.5, N/A, N/A
1, 11 September 2011, KC, BUF, -4, 40, N/A, N/A
1, 11 September 2011, LAC, MIN, -9, 42.5, N/A, N/A
1, 11 September 2011, PHI, SLR, -4, 44.5, N/A, N/A
1, 11 September 2011, ARI, CAR, -7, 37.5, N/A, N/A
1, 11 September 2011, BAL, PIT, -1.5, 36.5, N/A, N/A
1, 11 September 2011, ATL, CHI, -1.5, 41, N/A, N/A
1, 11 September 2011, CLE, CIN, -6.5, 36, N/A, N/A
1, 11 September 2011, NYJ, DAL, -6, 40.5, N/A, N/A
1, 11 September 2011, SF, SEA, -6, 37.5, N/A, N/A
1, 11 September 2011, TB, DET, -1.5, 43, N/A, N/A
1, 11 September 2011, NYG, WAS, -2.5, 40, N/A, N/A
1, 12 September 2011, DEN, OAK, -3, 40.5, N/A, N/A
1, 12 September 2011, NE, MIA, -7.5, 45.5, N/A, N/A
2, 18 September 2011, PHI, ATL, -2.5, 50, N/A, N/A
2, 18 September 2011, BUF, OAK, -4, 41, N/A, N/A
2, 18 September 2011, GB, CAR, -10.5, 46, N/A, N/A
2, 18 September 2011, DEN, CIN, -3.5, 40, N/A, N/A
2, 18 September 2011, DET, KC, -8, 45, N/A, N/A
2, 18 September 2011, CLE, IND, -1.5, 39.5, N/A, N/A
2, 18 September 2011, HOU, MIA, -3, 48, N/A, N/A
2, 18 September 2011, MIN, TB, -1, 41.5, N/A, N/A
2, 18 September 2011, NE, LAC, -7, 53.5, N/A, N/A
2, 18 September 2011, NO, CHI, -5.5, 47.5, N/A, N/A
2, 18 September 2011, NYJ, JAX, -9, 38.5, N/A, N/A
2, 18 September 2011, PIT, SEA, -14, 40, N/A, N/A
2, 18 September 2011, DAL, SF, -3, 41.5, N/A, N/A
2, 18 September 2011, BAL, TEN, -6, 38, N/A, N/A
2, 18 September 2011, WAS, ARI, -4.5, 45, N/A, N/A
2, 19 September 2011, NYG, SLR, -7, 44, N/A, N/A
3, 25 September 2011, PIT, IND, -11, 39.5, N/A, N/A
3, 25 September 2011, LAC, KC, -14, 44.5, N/A, N/A
3, 25 September 2011, BAL, SLR, -5.5, 42, N/A, N/A
3, 25 September 2011, DET, MIN, -3, 44.5, N/A, N/A
3, 25 September 2011, NO, HOU, -3.5, 51, N/A, N/A
3, 25 September 2011, NYJ, OAK, -2.5, 41, N/A, N/A
3, 25 September 2011, PHI, NYG, -8, 47, N/A, N/A
3, 25 September 2011, ARI, SEA, -3.5, 42.5, N/A, N/A
3, 25 September 2011, TB, ATL, -1, 45, N/A, N/A
3, 25 September 2011, TEN, DEN, -7, 44, N/A, N/A
3, 25 September 2011, NE, BUF, -7, 54, N/A, N/A
3, 25 September 2011, CAR, JAX, -3.5, 43, N/A, N/A
3, 25 September 2011, GB, CHI, -4, 45, N/A, N/A
3, 25 September 2011, CIN, SF, -1.5, 39, N/A, N/A
3, 25 September 2011, MIA, CLE, -1, 41.5, N/A, N/A
3, 26 September 2011, DAL, WAS, -3.5, 45, N/A, N/A
4, 2 October 2011, ARI, NYG, -1, 45, N/A, N/A
4, 2 October 2011, BAL, NYJ, -5, 43.5, N/A, N/A
4, 2 October 2011, CHI, CAR, -6.5, 42, N/A, N/A
4, 2 October 2011, BUF, CIN, -3, 43, N/A, N/A
4, 2 October 2011, CLE, TEN, -1, 38, N/A, N/A
4, 2 October 2011, DAL, DET, -2.5, 46.5, N/A, N/A
4, 2 October 2011, GB, DEN, -12.5, 46, N/A, N/A
4, 2 October 2011, HOU, PIT, -4, 46, N/A, N/A
4, 2 October 2011, NO, JAX, -8.5, 45, N/A, N/A
4, 2 October 2011, MIN, KC, -3, 40, N/A, N/A
4, 2 October 2011, LAC, MIA, -7, 45, N/A, N/A
4, 2 October 2011, WAS, SLR, -2.5, 44, N/A, N/A
4, 2 October 2011, NE, OAK, -6, 55.5, N/A, N/A
4, 2 October 2011, PHI, SF, -10, 43.5, N/A, N/A
4, 2 October 2011, ATL, SEA, -6, 39, N/A, N/A
4, 3 October 2011, TB, IND, -10, 40, N/A, N/A
5, 9 October 2011, HOU, OAK, -5, 48.5, N/A, N/A
5, 9 October 2011, IND, KC, -2, 38, N/A, N/A
5, 9 October 2011, CIN, JAX, -2, 37, N/A, N/A
5, 9 October 2011, MIN, ARI, -3.5, 45.5, N/A, N/A
5, 9 October 2011, NE, NYJ, -7.5, 50, N/A, N/A
5, 9 October 2011, NYG, SEA, -10, 43.5, N/A, N/A
5, 9 October 2011, PIT, TEN, -3.5, 40, N/A, N/A
5, 9 October 2011, SF, TB, -3, 41.5, N/A, N/A
5, 9 October 2011, GB, ATL, -6, 53.5, N/A, N/A
5, 9 October 2011, PHI, BUF, -3, 53, N/A, N/A
5, 9 October 2011, NO, CAR, -6.5, 51.5, N/A, N/A
