WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 6 September 2018, ATL, PHI, -1, 44.5, -105, -105
1, 9 September 2018, TEN, MIA, -1, 43.5, -102, -108
1, 9 September 2018, MIN, SF, -6, 46.5, 240, -260
1, 9 September 2018, NE, HOU, -6, 49, 225, -245
1, 9 September 2018, NO, TB, -10, 50, 400, -450
1, 9 September 2018, JAX, NYG, -2.5, 42.5, -133, 123
1, 9 September 2018, BAL, BUF, -7.5, 38.5, 310, -340
1, 9 September 2018, PIT, CLE, -3.5, 41, -170, 160
1, 9 September 2018, CIN, IND, -1, 47.5, -112, 102
1, 9 September 2018, LAC, KC, -3.5, 48, 170, -185
1, 9 September 2018, WAS, ARI, -1.5, 43.5, 111, -121
1, 9 September 2018, DEN, SEA, -3, 42.5, 160, -170
1, 9 September 2018, CAR, DAL, -2.5, 42, 135, -145
1, 9 September 2018, GB, CHI, -6.5, 45, 255, -280
1, 10 September 2018, DET, NYJ, -7, 44, 285, -315
1, 10 September 2018, LAR, OAK, -6, 47.5, -250, 230
2, 13 September 2018, BAL, CIN, -1, 43, -104, -106
2, 16 September 2018, ATL, CAR, -5.5, 43.5, 209, -234
2, 16 September 2018, LAC, BUF, -7.5, 41.5, -307, 270
2, 16 September 2018, MIN, GB, -2, 45, -120, 109
2, 16 September 2018, NO, CLE, -9.5, 51, 376, -439
2, 16 September 2018, NYJ, MIA, -3, 43, 145, -161
2, 16 September 2018, PIT, KC, -4.5, 52, 181, -202
2, 16 September 2018, PHI, TB, -3, 46.5, -147, 133
2, 16 September 2018, HOU, TEN, -3.5, 41, -176, 159
2, 16 September 2018, WAS, IND, -6, 48, 213, -239
2, 16 September 2018, SF, DET, -6, 48.5, 210, -236
2, 16 September 2018, LAR, ARI, -13.5, 43.5, 560, -687
2, 16 September 2018, DEN, OAK, -5.5, 44, 209, -235
2, 16 September 2018, NE, JAX, -2, 44.5, -127, 115
2, 16 September 2018, DAL, NYG, -3, 42, 138, -152
2, 17 September 2018, CHI, SEA, -5, 42.5, 209, -234
3, 20 September 2018, CLE, NYJ, -3, 41, 163, -173
3, 23 September 2018, NO, ATL, -1.5, 54, 107, -117
3, 23 September 2018, BAL, DEN, -5.5, 46.5, 200, -220
3, 23 September 2018, CAR, CIN, -3, 44, 133, -143
3, 23 September 2018, HOU, NYG, -6.5, 44.5, 235, -255
3, 23 September 2018, JAX, TEN, -10, 39.5, 390, -440
3, 23 September 2018, KC, SF, -5.5, 53.5, 225, -245
3, 23 September 2018, MIA, OAK, -2.5, 46, 128, -138
3, 23 September 2018, MIN, BUF, -16.5, 41, 950, -1150
3, 23 September 2018, PHI, IND, -6, 45, 248, -270
3, 23 September 2018, GB, WAS, -2, 46.5, -123, 113
3, 23 September 2018, LAR, LAC, -7, 49, 270, -300
3, 23 September 2018, CHI, ARI, -5.5, 38.5, -220, 200
3, 23 September 2018, DAL, SEA, -1.5, 40, 108, -118
3, 23 September 2018, NE, DET, -6.5, 55, -300, 270
3, 24 September 2018, PIT, TB, -1, 55, 100, -110
4, 27 September 2018, LAR, MIN, -7, 49, 260, -290
4, 30 September 2018, NE, MIA, -6.5, 50.5, 255, -280
4, 30 September 2018, PHI, TEN, -2.5, 41.5, -135, 125
4, 30 September 2018, ATL, CIN, -3.5, 52.5, 165, -175
4, 30 September 2018, CHI, TB, -2.5, 45.5, 125, -135
4, 30 September 2018, DAL, DET, -2.5, 44, 120, -130
4, 30 September 2018, GB, BUF, -9.5, 44, 315, -345
4, 30 September 2018, HOU, IND, -1, 48.5, -114, 104
4, 30 September 2018, JAX, NYJ, -7, 40.5, 295, -325
4, 30 September 2018, SEA, ARI, -3.5, 40, -185, 170
4, 30 September 2018, OAK, CLE, -2.5, 44.5, 123, -133
4, 30 September 2018, NO, NYG, -3, 52, -162, 152
4, 30 September 2018, LAC, SF, -9.5, 46.5, 370, -415
4, 30 September 2018, PIT, BAL, -3, 51, 145, -155
4, 1 October 2018, KC, DEN, -3.5, 53, -180, 168
5, 4 October 2018, NE, IND, -11, 49.5, 500, -600
5, 7 October 2018, KC, JAX, -3, 48, 145, -155
5, 7 October 2018, TEN, BUF, -6.5, 38, -270, 248
5, 7 October 2018, CAR, NYG, -6.5, 43.5, 255, -280
5, 7 October 2018, CIN, MIA, -6.5, 48, 240, -260
5, 7 October 2018, BAL, CLE, -3, 44.5, -162, 152
5, 7 October 2018, GB, DET, -1, 50, 102, -112
5, 7 October 2018, DEN, NYJ, -1, 42, -103, -107
5, 7 October 2018, PIT, ATL, -3.5, 57, 165, -175
5, 7 October 2018, LAC, OAK, -4.5, 51.5, 200, -220
5, 7 October 2018, LAR, SEA, -7.5, 50.5, -325, 295
5, 7 October 2018, SF, ARI, -3, 40.5, 146, -156
5, 7 October 2018, PHI, MIN, -3, 48.5, 165, -175
5, 7 October 2018, HOU, DAL, -3, 45.5, 155, -165
5, 8 October 2018, NO, WAS, -6, 51.5, 235, -255
6, 11 October 2018, PHI, NYG, -1.5, 45.5, -122, 112
6, 14 October 2018, NYJ, IND, -2.5, 48, 125, -135
6, 14 October 2018, SEA, OAK, -3, 47.5, -145, 135
6, 14 October 2018, CAR, WAS, -1, 44.5, -112, 102
6, 14 October 2018, ATL, TB, -3, 57.5, 143, -153
6, 14 October 2018, CIN, PIT, -2, 49.5, 113, -123
6, 14 October 2018, LAC, CLE, -1, 47, -105, -105
6, 14 October 2018, HOU, BUF, -10, 40.5, 405, -455
6, 14 October 2018, CHI, MIA, -7, 40.5, -315, 285
6, 14 October 2018, MIN, ARI, -9.5, 43.5, 375, -420
6, 14 October 2018, LAR, DEN, -7, 50, -305, 275
6, 14 October 2018, BAL, TEN, -2.5, 43.5, -128, 118
6, 14 October 2018, JAX, DAL, -3, 40, -165, 155
6, 14 October 2018, NE, KC, -3.5, 59, 170, -185
6, 15 October 2018, GB, SF, -9, 46.5, 375, -420
7, 18 October 2018, DEN, ARI, -1, 42, -105, -105
7, 21 October 2018, LAC, TEN, -6.5, 46, 248, -270
7, 21 October 2018, DET, MIA, -3, 47, -155, 145
7, 21 October 2018, MIN, NYJ, -3, 44.5, -165, 155
7, 21 October 2018, PHI, CAR, -4.5, 45, 200, -220
7, 21 October 2018, NE, CHI, -1, 49, -113, 103
7, 21 October 2018, IND, BUF, -7, 43.5, 260, -290
7, 21 October 2018, JAX, HOU, -4, 43, 170, -185
7, 21 October 2018, TB, CLE, -3.5, 52, 170, -185
7, 21 October 2018, BAL, NO, -2.5, 49.5, 124, -134
7, 21 October 2018, DAL, WAS, -1, 40.5, -120, 110
7, 21 October 2018, LAR, SF, -9.5, 51.5, -405, 360
7, 21 October 2018, KC, CIN, -6, 56.5, 240, -260
7, 22 October 2018, ATL, NYG, -4, 52.5, 185, -200
8, 25 October 2018, HOU, MIA, -7.5, 45, 315, -345
8, 28 October 2018, PHI, JAX, -3.5, 44.5, -190, 175
8, 28 October 2018, KC, DEN, -8.5, 53.5, 335, -375
8, 28 October 2018, BAL, CAR, -2.5, 44.5, -137, 127
8, 28 October 2018, CHI, NYJ, -9, 42, 320, -355
8, 28 October 2018, CIN, TB, -3.5, 54.5, 170, -185
8, 28 October 2018, DET, SEA, -3, 48, 150, -160
8, 28 October 2018, WAS, NYG, -1, 44, -105, -105
8, 28 October 2018, PIT, CLE, -9, 47.5, 348, -390
8, 28 October 2018, IND, OAK, -3, 51, -178, 167
8, 28 October 2018, SF, ARI, -2.5, 40, -140, 130
8, 28 October 2018, LAR, GB, -7.5, 57, 315, -345
8, 28 October 2018, NO, MIN, -2.5, 54, -131, 121
8, 29 October 2018, NE, BUF, -14, 44, -950, 750
9, 1 November 2018, OAK, SF, -2, 44, -125, 115
9, 4 November 2018, ATL, WAS, -1, 46.5, 103, -113
9, 4 November 2018, PIT, BAL, -1, 47, 105, -115
9, 4 November 2018, CHI, BUF, -10, 38, -450, 400
9, 4 November 2018, CAR, TB, -6.5, 56, 260, -290
9, 4 November 2018, KC, CLE, -7.5, 51, -365, 328
9, 4 November 2018, MIA, NYJ, -3, 43, 138, -148
9, 4 November 2018, MIN, DET, -5.5, 47, 205, -225
9, 4 November 2018, HOU, DEN, -1, 46.5, -102, -108
9, 4 November 2018, LAC, SEA, -1, 48.5, -105, -105
9, 4 November 2018, LAR, NO, -1.5, 57, -122, 112
9, 4 November 2018, NE, GB, -4.5, 56.5, 190, -210
9, 5 November 2018, DAL, TEN, -4, 40, 190, -210
10, 8 November 2018, PIT, CAR, -3.5, 51, 170, -185
10, 11 November 2018, TB, WAS, -3.5, 51, 160, -170
10, 11 November 2018, NE, TEN, -6.5, 46.5, -260, 240
10, 11 November 2018, CHI, DET, -7.5, 45, 290, -320
10, 11 November 2018, NO, CIN, -6, 53, -260, 240
10, 11 November 2018, ATL, CLE, -5.5, 49, -240, 220
10, 11 November 2018, IND, JAX, -3, 48, 148, -158
10, 11 November 2018, KC, ARI, -17, 49.5, 1150, -1450
10, 11 November 2018, NYJ, BUF, -7, 37.5, 260, -290
10, 11 November 2018, LAC, OAK, -10, 50.5, -475, 420
10, 11 November 2018, LAR, SEA, -9.5, 51, 380, -430
10, 11 November 2018, GB, MIA, -12.5, 48.5, 540, -660
10, 11 November 2018, PHI, DAL, -7.5, 45.5, 315, -345
10, 12 November 2018, SF, NYG, -3, 45, 152, -162
11, 15 November 2018, SEA, GB, -3, 49, 145, -155
11, 18 November 2018, HOU, WAS, -3, 40.5, -157, 147
11, 18 November 2018, NYG, TB, -3, 54, 153, -163
11, 18 November 2018, CAR, DET, -4, 48.5, -200, 185
11, 18 November 2018, TEN, IND, -1.5, 50, 110, -120
11, 18 November 2018, PIT, JAX, -4, 47, -195, 180
11, 18 November 2018, ATL, DAL, -3.5, 49.5, 170, -185
11, 18 November 2018, BAL, CIN, -6.5, 43.5, 240, -260
11, 18 November 2018, ARI, OAK, -4.5, 41, 185, -200
11, 18 November 2018, LAC, DEN, -7, 47, 280, -310
11, 18 November 2018, NO, PHI, -7, 56.5, 270, -300
11, 18 November 2018, CHI, MIN, -2.5, 44, 130, -140
11, 19 November 2018, LAR, KC, -3, 63.5, 160, -170
12, 22 November 2018, CHI, DET, -3, 42.5, -165, 155
12, 22 November 2018, DAL, WAS, -7, 40, 290, -320
12, 22 November 2018, NO, ATL, -12, 61, 500, -600
12, 25 November 2018, NE, NYJ, -12.5, 47, -660, 540
12, 25 November 2018, PHI, NYG, -5, 49.5, 190, -210
12, 25 November 2018, TB, SF, -2, 54.5, 115, -125
12, 25 November 2018, BAL, OAK, -12.5, 42, 568, -700
12, 25 November 2018, JAX, BUF, -3, 36.5, -157, 147
12, 25 November 2018, CAR, SEA, -3, 46.5, 150, -160
12, 25 November 2018, CLE, CIN, -1, 47, -112, 102
12, 25 November 2018, LAC, ARI, -14, 43, 725, -925
12, 25 November 2018, IND, MIA, -8.5, 52.5, 330, -370
12, 25 November 2018, PIT, DEN, -3, 47.5, -155, 145
12, 25 November 2018, MIN, GB, -3.5, 48.5, 170, -185
12, 26 November 2018, HOU, TEN, -3.5, 42.5, 170, -185
13, 29 November 2018, NO, DAL, -7, 51.5, -335, 305
13, 2 December 2018, LAR, DET, -10, 54, -450, 400
13, 2 December 2018, GB, ARI, -13, 41, 610, -765
13, 2 December 2018, HOU, CLE, -5.5, 47.5, 200, -220
13, 2 December 2018, IND, JAX, -4, 45.5, -205, 188
13, 2 December 2018, MIA, BUF, -3.5, 39.5, 175, -190
13, 2 December 2018, ATL, BAL, -2.5, 46.5, 125, -135
13, 2 December 2018, DEN, CIN, -4, 44.5, -190, 175
13, 2 December 2018, CHI, NYG, -4, 43.5, -190, 175
13, 2 December 2018, CAR, TB, -3.5, 51.5, -178, 167
13, 2 December 2018, TEN, NYJ, -9.5, 40, 380, -430
13, 2 December 2018, KC, OAK, -14, 53.5, -900, 700
13, 2 December 2018, NE, MIN, -6, 49, 220, -240
13, 2 December 2018, SEA, SF, -9.5, 45, 390, -440
13, 2 December 2018, PIT, LAC, -3, 53.5, 160, -170
13, 3 December 2018, PHI, WAS, -6, 45, 220, -240
14, 6 December 2018, TEN, JAX, -5.5, 37, 215, -235
14, 9 December 2018, NYG, WAS, -3, 40, -158, 148
14, 9 December 2018, NO, TB, -9, 55, -410, 365
14, 9 December 2018, NE, MIA, -9.5, 49.5, -420, 375
14, 9 December 2018, BUF, NYJ, -4.5, 37, 188, -205
14, 9 December 2018, CAR, CLE, -1, 48, -105, -105
14, 9 December 2018, GB, ATL, -4, 50.5, 170, -185
14, 9 December 2018, HOU, IND, -4, 49, 180, -195
14, 9 December 2018, KC, BAL, -6.5, 48.5, 245, -265
14, 9 December 2018, LAC, CIN, -16.5, 48.5, 950, -1150
14, 9 December 2018, DEN, SF, -3, 45.5, -152, 142
14, 9 December 2018, DET, ARI, -2.5, 39.5, -130, 120
14, 9 December 2018, PIT, OAK, -9.5, 51, -475, 420
14, 9 December 2018, DAL, PHI, -3, 45.5, 163, -173
14, 9 December 2018, LAR, CHI, -3, 51, -147, 137
14, 10 December 2018, SEA, MIN, -3, 45.5, 146, -156
15, 13 December 2018, KC, LAC, -4, 54.5, 177, -192
15, 15 December 2018, HOU, NYJ, -7, 44.5, -300, 270
15, 15 December 2018, DEN, CLE, -2, 47, 115, -125
15, 16 December 2018, IND, DAL, -3, 47, 157, -167
15, 16 December 2018, JAX, WAS, -7, 36.5, 275, -305
15, 16 December 2018, CHI, GB, -6, 46.5, 210, -230
15, 16 December 2018, CIN, OAK, -3, 45.5, 143, -153
15, 16 December 2018, ATL, ARI, -9, 43.5, 355, -400
15, 16 December 2018, BAL, TB, -8.5, 44.5, 320, -355
15, 16 December 2018, BUF, DET, -2.5, 39.5, 135, -145
15, 16 December 2018, MIN, MIA, -8, 45, 310, -340
15, 16 December 2018, TEN, NYG, -2.5, 42, -130, 120
15, 16 December 2018, SEA, SF, -4, 44, -200, 185
15, 16 December 2018, NE, PIT, -2.5, 55.5, -135, 125
15, 16 December 2018, LAR, PHI, -13.5, 52.5, 640, -810
15, 17 December 2018, NO, CAR, -6, 50.5, -235, 215
16, 22 December 2018, TEN, WAS, -12, 38, 500, -600
16, 22 December 2018, LAC, BAL, -4, 42.5, 190, -210
16, 23 December 2018, MIA, JAX, -3, 39.5, 155, -165
16, 23 December 2018, NE, BUF, -14, 45, 635, -800
16, 23 December 2018, ATL, CAR, -3, 46, -148, 138
16, 23 December 2018, CLE, CIN, -10, 44, 355, -400
16, 23 December 2018, DAL, TB, -7, 48, 295, -325
16, 23 December 2018, MIN, DET, -6.5, 42.5, -270, 248
16, 23 December 2018, IND, NYG, -9.5, 48, 390, -440
16, 23 December 2018, GB, NYJ, -3, 47, -155, 145
16, 23 December 2018, PHI, HOU, -2, 46.5, 112, -122
16, 23 December 2018, LAR, ARI, -14, 44, -700, 568
16, 23 December 2018, CHI, SF, -3.5, 43.5, -185, 170
16, 23 December 2018, NO, PIT, -6.5, 53.5, 245, -265
16, 23 December 2018, KC, SEA, -1, 54.5, -112, 102
16, 24 December 2018, DEN, OAK, -1.5, 42.5, -123, 113
17, 30 December 2018, GB, DET, -7.5, 44.5, 280, -310
17, 30 December 2018, HOU, JAX, -7, 39.5, 275, -305
17, 30 December 2018, NE, NYJ, -13.5, 46.5, 635, -800
17, 30 December 2018, NO, CAR, -7.5, 41.5, 295, -325
17, 30 December 2018, NYG, DAL, -7.5, 38.5, 280, -310
17, 30 December 2018, BUF, MIA, -5.5, 39.5, 220, -240
17, 30 December 2018, ATL, TB, -2.5, 52, -140, 130
17, 30 December 2018, LAC, DEN, -6.5, 43.5, -290, 260
17, 30 December 2018, BAL, CLE, -7, 41, 260, -290
17, 30 December 2018, PHI, WAS, -6, 43, -240, 220
17, 30 December 2018, PIT, CIN, -13.5, 46, 575, -710
17, 30 December 2018, SEA, ARI, -15, 40, 675, -860
17, 30 December 2018, KC, OAK, -14, 53, 700, -900
17, 30 December 2018, LAR, SF, -10.5, 50, 390, -440
17, 30 December 2018, MIN, CHI, -5.5, 39.5, 215, -235
17, 30 December 2018, IND, TEN, -5.5, 42.5, -235, 215
