WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 10 September 2015, NE, PIT, -7, 51, 270, -340
1, 13 September 2015, NYJ, CLE, -4, 40, 170, -190
1, 13 September 2015, MIA, WAS, -4, 46, -210, 175
1, 13 September 2015, IND, BUF, -1, 44, -115, -105
1, 13 September 2015, GB, CHI, -6, 48, -286, 230
1, 13 September 2015, KC, HOU, -1, 40, -115, -105
1, 13 September 2015, CAR, JAX, -3, 41, -150, 130
1, 13 September 2015, SEA, SLR, -4, 42, -185, 160
1, 13 September 2015, LAC, DET, -4, 46, 160, -180
1, 13 September 2015, ARI, NO, -2, 49, 120, -140
1, 13 September 2015, DEN, BAL, -4, 46, 180, -220
1, 13 September 2015, TB, TEN, -3, 40, 130, -150
1, 13 September 2015, CIN, OAK, -3, 43, -154, 130
1, 13 September 2015, DAL, NYG, -7, 52, 240, -300
1, 14 September 2015, PHI, ATL, -3, 55, -188, 150
1, 14 September 2015, MIN, SF, -2, 42, -142, 120
2, 17 September 2015, KC, DEN, -3, 42, 150, -170
2, 20 September 2015, MIN, DET, -2, 44, 125, -145
2, 20 September 2015, NO, TB, -10, 47, 350, -450
2, 20 September 2015, NYG, ATL, -2, 50, 110, -130
2, 20 September 2015, BUF, NE, -2, 45, -101, -119
2, 20 September 2015, CAR, HOU, -3, 41, 135, -155
2, 20 September 2015, ARI, CHI, -2, 46, -125, 105
2, 20 September 2015, CIN, LAC, -4, 48, 145, -175
2, 20 September 2015, TEN, CLE, -1, 41, -120, 100
2, 20 September 2015, PIT, SF, -6, 46, 200, -240
2, 20 September 2015, SLR, WAS, -3, 41, -175, 155
2, 20 September 2015, MIA, JAX, -6, 42, -250, 210
2, 20 September 2015, BAL, OAK, -6, 42, -220, 190
2, 20 September 2015, PHI, DAL, -6, 54, 250, -300
2, 20 September 2015, GB, SEA, -4, 49, 145, -175
2, 21 September 2015, IND, NYJ, -6, 46, 220, -270
3, 24 September 2015, NYG, WAS, -3, 45, 145, -165
3, 27 September 2015, NYJ, PHI, -3, 47, 145, -165
3, 27 September 2015, IND, TEN, -3, 46, -175, 155
3, 27 September 2015, BAL, CIN, -2, 46, 100, -125
3, 27 September 2015, CAR, NO, -10, 43, 350, -450
3, 27 September 2015, CLE, OAK, -4, 44, 163, -183
3, 27 September 2015, DAL, ATL, -1, 43, -110, -110
3, 27 September 2015, HOU, TB, -6, 41, 220, -260
3, 27 September 2015, SLR, PIT, -1, 48, 100, -120
3, 27 September 2015, MIN, LAC, -2, 46, 105, -130
3, 27 September 2015, NE, JAX, -14, 49, 750, -1250
3, 27 September 2015, ARI, SF, -6, 45, 250, -300
3, 27 September 2015, SEA, CHI, -16, 44, 800, -1600
3, 27 September 2015, MIA, BUF, -2, 44, 105, -125
3, 27 September 2015, DEN, DET, -3, 44, -163, 130
3, 28 September 2015, GB, KC, -6, 48, 210, -250
4, 1 October 2015, BAL, PIT, -3, 44, -163, 130
4, 4 October 2015, NYJ, MIA, -2, 42, -140, 120
4, 4 October 2015, IND, JAX, -4, 43, 167, -200
4, 4 October 2015, ATL, HOU, -4, 48, 185, -225
4, 4 October 2015, BUF, NYG, -6, 46, 210, -260
4, 4 October 2015, OAK, CHI, -3, 44, -165, 145
4, 4 October 2015, CIN, KC, -4, 45, 155, -175
4, 4 October 2015, CAR, TB, -3, 40, -182, 145
4, 4 October 2015, PHI, WAS, -3, 46, -161, 130
4, 4 October 2015, LAC, CLE, -5, 44, 205, -245
4, 4 October 2015, DEN, MIN, -6, 43, 240, -300
4, 4 October 2015, ARI, SLR, -7, 44, 275, -350
4, 4 October 2015, GB, SF, -8, 48, -345, 275
4, 4 October 2015, NO, DAL, -3, 49, 140, -155
4, 5 October 2015, SEA, DET, -10, 43, 375, -500
5, 8 October 2015, HOU, IND, -5, 40, 180, -220
5, 11 October 2015, KC, CHI, -9, 44, 360, -460
5, 11 October 2015, GB, SLR, -9, 45, 350, -450
5, 11 October 2015, ATL, WAS, -7, 48, 260, -320
5, 11 October 2015, BAL, CLE, -6, 43, 220, -260
5, 11 October 2015, CIN, SEA, -3, 44, 150, -170
5, 11 October 2015, PHI, NO, -6, 50, 220, -270
5, 11 October 2015, TB, JAX, -1, 42, 105, -115
5, 11 October 2015, BUF, TEN, -1, 43, -115, -105
5, 11 October 2015, ARI, DET, -4, 46, -220, 185
5, 11 October 2015, NE, DAL, -8, 50, -380, 300
5, 11 October 2015, DEN, OAK, -4, 44, -210, 180
5, 11 October 2015, NYG, SF, -8, 44, 280, -340
5, 12 October 2015, LAC, PIT, -4, 46, 180, -210
6, 15 October 2015, ATL, NO, -3, 52, -155, 135
6, 18 October 2015, NYJ, WAS, -8, 40, 295, -360
6, 18 October 2015, JAX, HOU, -2, 43, 125, -145
6, 18 October 2015, MIN, KC, -4, 43, 160, -185
6, 18 October 2015, CIN, BUF, -3, 42, -164, 144
6, 18 October 2015, DEN, CLE, -3, 42, -185, 155
6, 18 October 2015, DET, CHI, -4, 46, 168, -200
6, 18 October 2015, ARI, PIT, -6, 46, -230, 205
6, 18 October 2015, TEN, MIA, -2, 44, 115, -135
6, 18 October 2015, SEA, CAR, -7, 41, 260, -320
6, 18 October 2015, BAL, SF, -2, 44, -140, 120
6, 18 October 2015, GB, LAC, -10, 50, 400, -500
6, 18 October 2015, NE, IND, -10, 54, -450, 350
6, 19 October 2015, PHI, NYG, -4, 50, 170, -200
7, 22 October 2015, SEA, SF, -6, 42, -300, 225
7, 25 October 2015, BUF, JAX, -4, 42, -200, 160
7, 25 October 2015, KC, PIT, -3, 42, 150, -170
7, 25 October 2015, ATL, TEN, -6, 46, -250, 200
7, 25 October 2015, WAS, TB, -3, 42, 130, -150
7, 25 October 2015, DET, MIN, -1, 44, 100, -120
7, 25 October 2015, IND, NO, -6, 53, 210, -250
7, 25 October 2015, SLR, CLE, -6, 44, 220, -260
7, 25 October 2015, MIA, HOU, -4, 46, 180, -220
7, 25 October 2015, NE, NYJ, -7, 48, 270, -340
7, 25 October 2015, LAC, OAK, -4, 48, 155, -175
7, 25 October 2015, NYG, DAL, -3, 44, 140, -160
7, 25 October 2015, CAR, PHI, -3, 46, 130, -150
7, 26 October 2015, ARI, BAL, -10, 50, 400, -500
8, 29 October 2015, NE, MIA, -8, 51, 320, -400
8, 1 November 2015, KC, DET, -3, 45, 140, -160
8, 1 November 2015, SLR, SF, -8, 41, 315, -400
8, 1 November 2015, ATL, TB, -8, 48, 333, -400
8, 1 November 2015, BAL, LAC, -4, 50, 175, -210
8, 1 November 2015, MIN, CHI, -2, 44, -120, 110
8, 1 November 2015, ARI, CLE, -7, 46, -320, 260
8, 1 November 2015, NO, NYG, -3, 52, 145, -170
8, 1 November 2015, HOU, TEN, -4, 43, 155, -175
8, 1 November 2015, PIT, CIN, 0, 49, -115, -105
8, 1 November 2015, NYJ, OAK, -3, 44, -189, 155
8, 1 November 2015, SEA, DAL, -5, 42, -222, 180
8, 1 November 2015, GB, DEN, -2, 46, -140, 120
8, 2 November 2015, CAR, IND, -5, 46, 195, -240
9, 5 November 2015, CIN, CLE, -13, 46, 550, -850
9, 8 November 2015, BUF, MIA, -4, 44, 167, -200
9, 8 November 2015, GB, CAR, -2, 46, -130, 110
9, 8 November 2015, MIN, SLR, -2, 40, 105, -125
9, 8 November 2015, NE, WAS, -14, 52, 700, -1400
9, 8 November 2015, NO, TEN, -6, 50, 250, -300
9, 8 November 2015, NYJ, JAX, -8, 42, 300, -360
9, 8 November 2015, PIT, OAK, -6, 48, 195, -250
9, 8 November 2015, ATL, SF, -8, 44, -350, 285
9, 8 November 2015, NYG, TB, -2, 49, -125, 105
9, 8 November 2015, DEN, IND, -4, 45, -195, 160
9, 8 November 2015, PHI, DAL, -3, 44, -170, 150
9, 9 November 2015, LAC, CHI, -4, 50, 160, -200
10, 12 November 2015, NYJ, BUF, -2, 42, 115, -135
10, 15 November 2015, PHI, MIA, -6, 50, 210, -250
10, 15 November 2015, PIT, CLE, -7, 43, 250, -300
10, 15 November 2015, BAL, JAX, -5, 47, 195, -250
10, 15 November 2015, GB, DET, -10, 50, 440, -600
10, 15 November 2015, SLR, CHI, -7, 42, 305, -335
10, 15 November 2015, DAL, TB, -1, 44, -115, -105
10, 15 November 2015, CAR, TEN, -4, 42, -200, 170
